"","Shom_PJ_011","Shom_PJ_012","Shom_PJ_013","Shom_PJ_014","Shom_PJ_015","Shom_PJ_016","Shom_PJ_017","Shom_PJ_018","Shom_PJ_019"
"Shom_DM18D10_00658",0,2,1,14,14,6,39,21,26
"Shom_DM18D10_00659",9,14,9,3,8,7,4,7,8
"Shom_DM18D10_00660",46,33,28,222,195,150,292,277,260
"Shom_DM18D10_00661",28926,20468,41080,11861,11984,12146,13892,12695,15671
"Shom_DM18D10_00662",19302,12724,27432,7718,8241,8180,8476,8587,9476
"Shom_DM18D10_00663",1375,1154,1888,459,481,515,626,729,657
"Shom_DM18D10_00664",4441,4799,7487,777,998,1080,963,937,1444
"Shom_DM18D10_00665",9111,8792,13921,2128,2265,2249,2804,2360,3039
"Shom_DM18D10_00666",6989,5746,10964,4437,4572,4492,3981,4288,6003
"Shom_DM18D10_00667",726,574,831,609,585,593,889,666,599
"Shom_DM18D10_00668",916,682,1312,423,446,486,503,558,580
"Shom_DM18D10_00669",8625,8685,7536,8075,6931,9028,17333,20521,17540
"Shom_DM18D10_00670",590,933,664,538,607,439,755,704,679
"Shom_DM18D10_00671",21762,16964,21063,30041,29987,26725,51640,39837,43170
"Shom_DM18D10_00672",21457,13182,29827,6288,6205,8344,7633,8647,9720
"Shom_DM18D10_00673",8835,6411,11622,2190,2393,3387,2677,3540,4239
"Shom_DM18D10_00674",6768,4592,8767,2125,2322,3238,2328,3106,3466
"Shom_DM18D10_00675",24872,19273,31415,6503,6633,7550,7474,7586,9872
"Shom_DM18D10_00676",1257219,1918023,1291646,1547462,1684105,995537,2289090,1741233,1565841
"Shom_DM18D10_00677",580841,678320,478505,355539,667285,154335,782807,439359,218657
"Shom_DM18D10_00678",161640,180434,145086,90077,151460,47421,176753,104718,65931
"Shom_DM18D10_00679",232220,271062,241054,121219,199623,72142,230912,142910,100086
"Shom_DM18D10_00680",64310,75538,71784,26329,40033,19766,46753,32171,30204
"Shom_DM18D10_00681",340367,534888,305573,361584,396928,155369,714338,527971,302451
"Shom_DM18D10_00682",190399,299435,189790,187112,242620,81478,331913,240790,159686
"Shom_DM18D10_00683",18579,25493,19309,12470,16115,7977,23581,18966,13359
"Shom_DM18D10_00684",200110,227146,229146,110798,118226,81423,179198,148889,116322
"Shom_DM18D10_00685",141973,175686,153672,82423,86546,58313,126338,109547,91810
"Shom_DM18D10_00686",238723,246591,257364,142038,186052,89907,261539,181069,122288
"Shom_DM18D10_00687",136590,162308,144804,83441,126648,51775,154869,109152,75577
"Shom_DM18D10_00688",24522,28915,26674,27722,34951,18621,34355,26137,23927
"Shom_DM18D10_00689",2500,3086,2890,2860,3559,2045,2940,2765,2724
"Shom_DM18D10_00690",11492,14288,11869,21851,23146,17360,21280,17281,21115
"Shom_DM18D10_00691",13332,16188,13469,25617,26383,21947,24051,20248,26643
"Shom_DM18D10_00692",13738,15929,13664,27037,27261,22421,25687,22352,27719
"Shom_DM18D10_00693",7954,9274,8140,15397,15024,12018,14578,12993,15922
"Shom_DM18D10_00694",31868,37139,33585,62858,60481,49162,59642,49385,59544
"Shom_DM18D10_00695",9738,11082,9818,17843,17923,14184,15892,14218,16591
"Shom_DM18D10_00696",72607,58367,92768,29952,30433,29143,41100,41950,42593
"Shom_DM18D10_00697",10208,16126,13648,7223,8605,4377,9457,7561,6662
"Shom_DM18D10_00698",11792,19360,17772,7696,10359,6287,8143,7505,7993
"Shom_DM18D10_00699",32029,39641,36561,42060,44981,45794,72747,73950,82445
"Shom_DM18D10_00700",19556,18017,24236,16550,16088,24775,25282,27328,42280
"Shom_DM18D10_00701",14950,11138,18662,10989,10220,20008,17711,18769,31423
"Shom_DM18D10_00702",11641,7523,14668,7821,7415,12502,12823,14039,22449
"Shom_DM18D10_00703",62961,49143,92491,18325,17956,17510,26159,25391,27297
"Shom_DM18D10_00704",2250,2565,2726,3641,4374,5631,7511,6898,10859
"Shom_DM18D10_00705",2050,2393,2596,3504,4478,5395,6704,6692,9641
"Shom_DM18D10_00706",3451,2968,5008,2049,1883,3225,2365,2380,5317
"Shom_DM18D10_00723",116414,89639,115223,81270,73699,90288,111367,126381,117727
"Shom_DM18D10_00724",30088,27661,28383,21272,20616,25073,30942,36405,33764
"Shom_DM18D10_00725",6441,6622,6428,4219,4470,4647,5776,6633,7237
"Shom_DM18D10_00726",2728,3271,2957,2111,2113,2315,3161,3763,4394
"Shom_DM18D10_00727",102207,51085,92917,242289,205262,422664,231546,192099,383234
"Shom_DM18D10_00728",4275,5358,4273,4694,4808,3585,5988,5299,6420
"Shom_DM18D10_00729",146293,215342,186466,127201,140683,79863,189001,167177,160460
"Shom_DM18D10_00730",20312,24521,28435,10882,11915,11700,15126,15114,19424
"Shom_DM18D10_00731",15185,15826,20746,6630,7189,8306,9131,10591,12922
"Shom_DM18D10_00732",46554,32537,60135,13144,13076,14687,16020,18846,19395
"Shom_DM18D10_00733",11899,10855,14409,6957,6209,6622,9924,9198,9512
"Shom_DM18D10_00734",6262,4983,7575,3529,3288,3332,4968,4997,4302
"Shom_DM18D10_00735",13116,16951,14116,10123,9054,8069,17223,15436,14708
"Shom_DM18D10_00736",20672,28024,22858,16797,15074,12713,28350,22497,22479
"Shom_DM18D10_00737",51854,56717,59041,36666,33865,29852,53302,43698,47834
"Shom_DM18D10_00738",8465,8011,12061,4541,4331,4661,5001,5216,6628
"Shom_DM18D10_00739",356683,273741,486451,119075,121004,119752,209313,184426,173354
"Shom_DM18D10_00740",118592,111884,118835,53629,53525,63411,80492,75146,86803
"Shom_DM18D10_00741",64315,80768,80152,32920,35110,42877,43233,43015,57817
"Shom_DM18D10_00742",80325,90490,66771,160255,162315,138903,188880,212162,183226
"Shom_DM18D10_00743",98183,110363,83791,203069,205595,181825,249242,260889,218647
"Shom_DM18D10_00744",54523,59858,51136,89306,89027,79910,98603,103290,94289
"Shom_DM18D10_00745",12471,11993,16255,7394,7488,8139,8181,9652,11440
"Shom_DM18D10_00746",53641,36474,71779,26484,28992,32817,38563,46279,46773
"Shom_DM18D10_00747",13821,11221,16384,6191,6580,8264,7736,7672,10247
"Shom_DM18D10_00748",6668,5356,7537,3573,3707,4594,4361,4530,5904
"Shom_DM18D10_00749",18563,18674,18289,16697,15398,14171,22074,20834,19144
"Shom_DM18D10_00750",67645,76070,68791,64432,58268,53484,79731,72382,75524
"Shom_DM18D10_00751",5224,5764,6259,3678,3727,4111,4834,6132,7406
"Shom_DM18D10_00752",1329,1488,1396,1118,1121,1161,1243,1664,2223
"Shom_DM18D10_00753",4670,5755,5769,4233,4192,4168,4377,5618,8119
"Shom_DM18D10_00754",4380,2925,5880,3294,2973,2837,3321,4124,4354
"Shom_DM18D10_00755",18879,12234,24215,14172,12947,12300,14391,17991,19304
"Shom_DM18D10_00756",23152,16931,31386,22922,20269,20738,24187,28831,30384
"Shom_DM18D10_00757",24881,12375,27179,26620,24392,34052,28621,32867,31868
"Shom_DM18D10_00758",19219,11040,20128,21189,18623,23716,23887,26141,25886
"Shom_DM18D10_00759",8298,7707,11681,4836,4734,5164,4423,4883,7208
"Shom_DM18D10_00763",17663,14725,22333,12219,12194,9985,14001,14904,17612
"Shom_DM18D10_00764",40460,34627,47820,27723,27145,23374,29718,28801,31351
"Shom_DM18D10_00765",46109,46819,52984,26858,26298,29379,32224,32713,41231
"Shom_DM18D10_00766",4904,4418,5610,2906,2951,3129,2867,3397,4550
"Shom_DM18D10_00767",14955,15397,16486,4812,4922,6780,7459,6570,8006
"Shom_DM18D10_00768",24337,32387,20770,8242,9363,9441,14793,12537,12162
"Shom_DM18D10_00769",8961,14000,6257,3888,4618,3229,6074,4991,4140
"Shom_DM18D10_00771",3857,4152,3573,4107,3449,6041,13291,16125,13122
"Shom_DM18D10_00772",6611,8462,6249,7648,6480,8556,28363,32257,27265
"Shom_DM18D10_00773",3504,4262,3368,2450,2379,2958,3570,3298,3352
"Shom_DM18D10_00774",7547,9032,10320,2657,2737,3420,3534,3627,4861
"Shom_DM18D10_00775",7984,8287,9597,2928,2726,3180,4024,3621,4468
"Shom_DM18D10_00776",2144,3104,2635,1479,1560,1735,1753,1901,2461
"Shom_DM18D10_00777",18416,14608,23732,12435,11106,12795,14523,14519,18150
"Shom_DM18D10_00778",21274,28611,21347,4469,4346,4887,11320,8253,8836
"Shom_DM18D10_00779",18328,20724,18972,19709,17165,14584,36093,26303,37484
"Shom_DM18D10_00780",1132,1837,1451,1995,1836,1870,3619,3410,6751
"Shom_DM18D10_00781",2061,2945,2581,2853,2669,3234,4852,5179,11357
"Shom_DM18D10_00782",24802,23173,30056,17695,19628,13148,11712,9965,18633
"Shom_DM18D10_00783",8929,9866,10395,6895,7951,4922,3918,3494,7723
"Shom_DM18D10_00784",7430,5089,10890,2369,2587,3862,2846,3123,5004
"Shom_DM18D10_00785",21417,22295,29961,1428,1290,1755,2329,3068,4528
"Shom_DM18D10_00786",2463,1786,3150,1728,1530,1689,2097,2098,2496
"Shom_DM18D10_00787",14305,12074,17793,10540,9523,10796,12631,12290,15552
"Shom_DM18D10_00788",11377,11196,14628,6886,6801,7823,7231,7492,10955
"Shom_DM18D10_00789",3986,5124,5266,3035,3020,2871,5370,5422,5003
"Shom_DM18D10_00790",16839,37497,19866,24665,23592,13911,44262,38593,34462
"Shom_DM18D10_00791",6847,16810,9368,9999,10383,6011,15115,14850,13856
"Shom_DM18D10_00792",4093,3965,5817,2936,3093,3280,8789,8091,9046
"Shom_DM18D10_00793",73593,76615,76034,26046,28289,23128,59388,49683,43847
"Shom_DM18D10_00794",49475,72943,51192,37624,47644,18602,74810,54507,36365
"Shom_DM18D10_00795",16077,30515,20559,12385,14938,7241,21739,15415,14737
"Shom_DM18D10_00796",3545,5723,5386,2418,2690,1915,3378,3045,3468
"Shom_DM18D10_00797",107481,41746,103142,103988,87533,113157,118062,130149,107050
"Shom_DM18D10_00798",8502,8195,13786,5707,5433,6699,7814,10329,12544
"Shom_DM18D10_00799",64605,48533,92698,27111,27822,30693,26483,30304,42867
"Shom_DM18D10_00800",8663,7183,13011,4036,4043,3669,5552,4216,8161
"Shom_DM18D10_00801",25991,18177,37399,13517,13094,12840,12873,12754,17981
"Shom_DM18D10_00802",2941,2042,2383,4562,3999,5668,8087,10822,9317
"Shom_DM18D10_00803",60710,63305,55866,68731,59677,82524,107806,127773,256628
"Shom_DM18D10_00804",66652,67480,59864,74519,66705,90649,120953,148621,272364
"Shom_DM18D10_00805",27309,28865,50663,8377,9230,14437,9618,8592,14792
"Shom_DM18D10_00806",4763,2120,4387,2139,2017,2418,2465,3256,3840
"Shom_DM18D10_00807",124585,50871,128008,170906,150403,247813,169849,204788,209733
"Shom_DM18D10_00808",7894,6943,9534,5146,5306,4952,6642,5514,6557
"Shom_DM18D10_00809",39514,57278,47690,33201,38575,16629,49560,39797,25992
"Shom_DM18D10_00810",92322,167510,113769,75931,97028,32286,126847,102201,67965
"Shom_DM18D10_00811",27555,51935,33618,21320,28234,9379,35194,29261,21795
"Shom_DM18D10_00812",6587,4507,9627,1720,1751,2684,2346,2905,4047
"Shom_DM18D10_00813",53321,72096,59151,39164,38867,32975,57038,45624,45040
"Shom_DM18D10_00814",4803,7569,5321,3998,3876,3257,5877,4591,4418
"Shom_DM18D10_00815",5744,9726,7321,4492,4693,3346,5696,5247,5571
"Shom_DM18D10_00816",2016,2742,3154,1628,1766,1295,1435,1362,1825
"Shom_DM18D10_00817",208,246,154,719,564,594,2314,2571,1715
"Shom_DM18D10_00818",301,327,226,1030,729,747,4160,3941,2385
"Shom_DM18D10_00819",972,1335,853,2351,1662,2029,9855,9435,6586
"Shom_DM18D10_00820",3487,3185,3257,4107,3188,4397,16623,16806,11367
"Shom_DM18D10_00821",586,947,623,917,845,723,3281,3092,2185
"Shom_DM18D10_00822",1113,819,1306,1444,1194,1651,2345,3057,3394
"Shom_DM18D10_00823",24870,44540,23926,17813,15509,12177,60640,49413,38001
"Shom_DM18D10_00824",5864,10362,8212,8348,8221,4822,16034,9591,8202
"Shom_DM18D10_00825",221,188,205,293,268,316,440,357,311
"Shom_DM18D10_00826",355,328,378,491,451,590,702,521,521
"Shom_DM18D10_00827",2593,2333,3099,1793,1618,2205,2240,2027,2403
"Shom_DM18D10_00828",336,274,417,170,192,251,193,201,285
"Shom_DM18D10_00829",713,631,1038,168,167,236,245,286,400
"Shom_DM18D10_00830",4674,3667,6710,701,695,1158,734,828,1409
"Shom_DM18D10_00831",2789,1736,3847,217,220,421,241,295,404
"Shom_DM18D10_00832",2918,1871,3975,148,158,302,154,173,315
"Shom_DM18D10_00833",25988,22393,28224,14712,15492,13190,18890,16553,15485
"Shom_DM18D10_00834",9245,10897,9196,7947,7920,5050,10717,8078,7766
"Shom_DM18D10_00835",16240,25486,16674,19755,20937,10919,25206,18497,18712
"Shom_DM18D10_00836",9522,15607,11635,10681,12133,6721,11411,9316,11374
"Shom_DM18D10_00837",1292,1594,1969,857,1063,661,855,892,1057
"Shom_DM18D10_00838",12292,9245,16531,4887,5101,3587,6244,6038,6494
"Shom_DM18D10_00839",42612,43759,47484,29786,28492,24309,27110,25169,31791
"Shom_DM18D10_00840",56434,45813,71416,30335,29427,26875,36313,32285,39379
"Shom_DM18D10_00841",9573,7943,14498,7409,7254,6840,5534,5640,7134
"Shom_DM18D10_00842",32546,36552,46357,30781,29507,27563,27430,27435,35709
"Shom_DM18D10_00843",33171,49485,43340,43707,42083,27356,39954,38203,43422
"Shom_DM18D10_00844",48264,74911,57323,58218,56958,28723,66470,55883,52052
"Shom_DM18D10_00845",3678,4668,4167,1117,1219,1217,1556,1464,1801
"Shom_DM18D10_00846",225774,119225,214793,125210,113065,178016,100977,81249,145687
"Shom_DM18D10_00847",989,1914,1088,902,813,798,1597,2268,1877
"Shom_DM18D10_00848",603,1061,603,605,480,642,1194,1557,1270
"Shom_DM18D10_00849",2703,2080,3236,1397,1360,1716,1677,2361,2924
"Shom_DM18D10_00850",33621,34441,51419,17328,16870,22635,20662,24323,34156
"Shom_DM18D10_00851",139334,133884,173192,79740,74591,77724,109767,110326,125569
"Shom_DM18D10_00852",31557,27691,37754,18223,17054,16239,28083,26288,25667
"Shom_DM18D10_00853",34591,42025,41549,27403,26058,24604,45943,45019,47901
"Shom_DM18D10_00854",17856,17704,21913,16105,27879,10554,44653,28864,20290
"Shom_DM18D10_00857",27466,25475,33175,14963,15800,13687,22321,21037,19375
"Shom_DM18D10_00858",60890,73073,71228,39475,40922,33827,63633,54870,53983
"Shom_DM18D10_00859",24784,33801,30995,17631,18646,14790,32616,27107,25684
"Shom_DM18D10_00860",24241,25904,31758,12359,12695,11745,25394,20918,19732
"Shom_DM18D10_00861",4579,4073,6827,3018,3011,3186,3879,4015,5665
"Shom_DM18D10_00862",2405,2552,3121,1461,1555,994,1801,1930,1577
"Shom_DM18D10_00863",11378,10522,17344,3425,3770,4105,4654,5376,6142
"Shom_DM18D10_00864",8862,7522,13225,2023,2230,3114,3465,3805,4636
"Shom_DM18D10_00865",49739,38915,69906,14028,14141,17507,20777,21177,23733
"Shom_DM18D10_00866",5842,4680,7787,2008,1902,2324,3648,3301,3443
"Shom_DM18D10_00867",2709,2040,3083,1559,1625,1624,1679,1703,1842
"Shom_DM18D10_00868",339,421,343,153,167,196,208,209,216
"Shom_DM18D10_00869",103,109,100,39,45,40,46,60,50
"Shom_DM18D10_00870",166,156,237,142,142,203,198,161,274
"Shom_DM18D10_00871",2112,2964,2439,2782,2535,1706,4683,4270,4119
"Shom_DM18D10_00872",724,914,928,658,633,469,1252,1202,1296
"Shom_DM18D10_00873",737,627,1031,374,380,456,458,495,678
"Shom_DM18D10_00874",1795,1498,2512,1006,1009,1398,1144,1225,1814
"Shom_DM18D10_00875",379,394,543,270,276,323,295,313,442
"Shom_DM18D10_00876",5954,4085,8104,4365,4089,4349,4424,4384,5236
"Shom_DM18D10_00877",272,266,365,130,160,156,179,198,293
"Shom_DM18D10_00878",1197,1427,1510,545,617,682,792,847,1169
"Shom_DM18D10_00879",500,519,583,207,236,255,306,380,453
"Shom_DM18D10_00880",1793,2006,2116,893,1023,1131,1242,1302,1739
"Shom_DM18D10_00881",3242,3874,3579,1681,1758,1987,2466,2642,3572
"Shom_DM18D10_00882",9417,9176,12691,4378,4614,5336,7860,7399,9281
"Shom_DM18D10_00883",190682,140155,276396,18102,18779,25448,4058,3790,4333
"Shom_DM18D10_00884",67450,54090,102200,6316,6908,9828,1345,1354,1529
"Shom_DM18D10_00885",263454,197732,381733,24082,28735,41808,4265,4905,5870
"Shom_DM18D10_00886",4400,4287,7562,1121,1157,1659,946,1142,2062
"Shom_DM18D10_00887",675,500,968,373,367,670,339,321,617
"Shom_DM18D10_00888",545,446,894,86,98,124,66,124,140
"Shom_DM18D10_00889",4096,2726,5146,886,915,1308,1269,1497,1853
"Shom_DM18D10_00890",2228,1616,2916,264,280,354,330,324,368
"Shom_DM18D10_00891",3925,2846,6185,1457,1432,1347,1313,1272,1492
"Shom_DM18D10_00892",9390,6614,12779,5504,5348,6030,5744,6126,6844
"Shom_DM18D10_00893",6935,7805,9330,2253,2539,2953,3447,3502,4669
"Shom_DM18D10_00894",3301,2849,4676,1064,1070,1452,1660,1784,2322
"Shom_DM18D10_00895",7342,5124,9334,2705,2782,3293,3932,3751,3941
"Shom_DM18D10_00896",10078,7277,12346,4910,4724,5674,6391,5879,6574
"Shom_DM18D10_00897",3187,3566,2888,2215,2258,2209,3476,3040,2677
"Shom_DM18D10_00898",4131,5556,4055,3558,3222,2997,6133,4948,4859
"Shom_DM18D10_00899",1118,1840,1138,1369,1295,1082,2629,1971,1910
"Shom_DM18D10_00900",5518,8056,5512,5999,5237,4414,11392,8240,8345
"Shom_DM18D10_00901",4627,5956,4752,4284,4030,3376,7796,5669,6445
"Shom_DM18D10_00902",603,708,595,502,439,398,880,666,756
"Shom_DM18D10_00903",841,836,1333,490,467,613,551,575,1091
"Shom_DM18D10_00904",1341,1193,2002,746,723,896,866,851,1568
"Shom_DM18D10_00905",238,255,245,454,399,322,528,421,734
"Shom_DM18D10_00906",236,195,344,204,158,197,311,246,337
"Shom_DM18D10_00907",4415,4003,4899,45267,34152,31770,11589,10866,19095
"Shom_DM18D10_00908",1366,1043,1599,8959,6893,6287,2695,2542,3628
"Shom_DM18D10_00909",35528,16322,35465,30703,25139,39521,42731,56370,46153
"Shom_DM18D10_00910",158543,99427,125202,114403,94261,122293,174778,217289,203988
"Shom_DM18D10_00911",139733,76571,136565,124200,110018,134854,145131,162111,150659
"Shom_DM18D10_00912",10068,17022,10765,16196,17130,10143,18013,17943,16657
"Shom_DM18D10_00913",2213,2055,2110,1972,1893,2265,2024,2252,3187
"Shom_DM18D10_00914",12064,5306,10587,10156,9745,16902,17363,18815,15684
"Shom_DM18D10_00915",5026,4889,6787,1388,1748,1803,1770,2571,2514
"Shom_DM18D10_00916",9504,9796,8904,9266,8741,10038,18259,17652,23847
"Shom_DM18D10_00917",57906,39472,61953,31632,30896,32746,40124,40451,39380
"Shom_DM18D10_00918",1778,1232,2136,889,818,760,1365,1256,1402
"Shom_DM18D10_00919",982,788,1093,1082,977,1696,1089,1011,1202
"Shom_DM18D10_00920",4026,3364,5616,1604,1854,1989,1864,2000,2049
"Shom_DM18D10_00921",19849,9293,19904,109412,86854,371856,93115,93433,260260
"Shom_DM18D10_00922",5404,3546,5840,6299,6295,13022,4598,4401,8890
"Shom_DM18D10_00923",1327,734,1597,1633,1576,1607,1374,1378,1481
"Shom_DM18D10_00924",9599,15422,10093,13892,18067,8592,22020,18255,12552
"Shom_DM18D10_00925",11384,9135,16786,3774,3740,4347,8982,8467,9400
"Shom_DM18D10_00926",9215,6667,13288,3341,3091,3278,7662,6867,6952
"Shom_DM18D10_00927",935,721,1426,231,225,339,655,648,968
"Shom_DM18D10_00928",3168,2211,4407,378,427,539,756,761,718
"Shom_DM18D10_00929",12388,8814,13944,3274,3279,3970,3874,4813,5342
"Shom_DM18D10_00930",21656,18283,25529,4687,4191,7047,8815,9755,12487
"Shom_DM18D10_00931",5263,5545,5897,3078,2851,2911,4505,4623,4943
"Shom_DM18D10_00932",3087,3972,3408,2248,2170,2128,3737,3452,3733
"Shom_DM18D10_00933",7334,9435,7375,10103,10672,10532,15109,14076,15029
"Shom_DM18D10_00934",131517,129438,123176,137449,118889,130685,185916,231817,214077
"Shom_DM18D10_00935",5405,6269,5368,5445,5493,4866,5959,6657,8051
"Shom_DM18D10_00936",714936,442310,448222,1202894,1056736,1527581,1584730,1596810,1479881
"Shom_DM18D10_00937",4041,2735,3770,6489,6957,9929,6053,7435,8738
"Shom_DM18D10_00938",37036,15675,33584,26122,23486,33163,35111,42246,35285
"Shom_DM18D10_00939",11398,16263,9067,62514,58427,75658,110174,146617,212537
"Shom_DM18D10_00940",4015,7207,5800,1397,1649,1388,1986,1975,2791
"Shom_DM18D10_00942",3448,2975,2768,2825,2964,2340,3428,2874,2505
"Shom_DM18D10_00943",2914,2586,2267,2770,2896,2197,3627,2954,2694
"Shom_DM18D10_00944",6767,6557,8344,3140,3195,3565,4289,4208,4839
"Shom_DM18D10_00945",3401,3316,4447,1361,1560,1766,1276,1493,2395
"Shom_DM18D10_00946",9980,14176,14021,4939,5638,5142,5071,5570,7622
"Shom_DM18D10_00947",20678,30282,27202,10653,11782,10116,12244,11709,16019
"Shom_DM18D10_00948",2826,3892,3535,1283,1490,1212,1724,1737,2147
"Shom_DM18D10_00949",9319,10968,9992,4257,4758,3754,5954,5242,5502
"Shom_DM18D10_00950",798,702,719,871,1081,786,893,912,1035
"Shom_DM18D10_00951",8361,7022,11893,2340,2342,3351,3499,4282,6620
"Shom_DM18D10_00952",188,177,256,68,70,107,122,133,259
"Shom_DM18D10_00953",1426,2650,1947,4748,4569,2773,8283,7116,6245
"Shom_DM18D10_00954",40220,17974,42929,39068,38271,46363,33318,25065,24517
"Shom_DM18D10_00955",26747,11825,28431,27318,27138,46892,20798,17280,22933
"Shom_DM18D10_00956",7875,6093,9753,3387,3529,4247,4088,5100,4824
"Shom_DM18D10_00957",23989,46311,27932,18913,27047,8675,31771,23649,16066
"Shom_DM18D10_00958",8771,8056,7973,10171,9846,11552,17117,21023,16508
"Shom_DM18D10_00959",5917,5836,5261,7602,6773,7735,25608,24022,25571
"Shom_DM18D10_00960",16381,14887,14774,19984,17631,24237,62778,58082,60762
"Shom_DM18D10_00961",76459,35012,56769,77666,63116,96529,103196,120341,112990
"Shom_DM18D10_00962",405,482,494,673,592,982,700,1328,6343
"Shom_DM18D10_00963",1271,1086,1605,556,560,815,797,977,1204
"Shom_DM18D10_00964",43003,26787,44908,62250,53054,52291,89445,101605,93787
"Shom_DM18D10_00965",2212,1709,2634,1221,1220,1306,1258,1334,1592
"Shom_DM18D10_00966",13979,10258,17519,12629,10764,17018,14483,12981,17351
"Shom_DM18D10_00967",7451,10105,7257,9336,9605,9030,8154,7452,10059
"Shom_DM18D10_00968",3197,3671,2898,3773,3951,4684,3461,3255,4129
"Shom_DM18D10_00969",42645,37374,63305,15087,15392,15485,19981,25044,22950
"Shom_DM18D10_00970",796,596,451,979280,886897,1226814,941557,779365,1437372
"Shom_DM18D10_00971",274,192,204,341929,327189,425529,319312,294214,487500
"Shom_DM18D10_00972",775,748,733,868622,795710,1342820,803991,702434,1513720
"Shom_DM18D10_00973",1210,1168,1265,1235411,1096026,2192346,1146356,966527,2284564
"Shom_DM18D10_00974",2503,1808,2971,3566,3277,1986,2620,2744,4328
"Shom_DM18D10_00975",6468,4800,8043,8619,7396,5606,7352,7016,11568
"Shom_DM18D10_00976",1888,1199,2294,1568,1235,1407,1497,1584,2391
"Shom_DM18D10_00977",1642,3127,1711,1916,2033,1679,2827,3199,3629
"Shom_DM18D10_00978",6114,5381,6575,2120,2096,2595,3610,3832,4118
"Shom_DM18D10_00979",9304,4542,9850,5377,4902,7072,8127,13915,12593
"Shom_DM18D10_00980",63,77,81,24,17,34,25,35,35
"Shom_DM18D10_00981",7970,3903,9353,49419,39216,195673,48518,40138,118665
"Shom_DM18D10_00982",1044,726,1458,192,199,272,281,317,315
"Shom_DM18D10_00983",397,442,720,158,201,224,227,224,306
"Shom_DM18D10_00984",1269,1326,1982,519,518,692,644,664,994
"Shom_DM18D10_00985",35827,44551,37884,21851,21759,20535,36379,31787,31143
"Shom_DM18D10_00986",1114,796,1574,497,485,621,617,685,942
"Shom_DM18D10_00987",13609,14651,22276,10834,11296,15513,9341,11083,18617
"Shom_DM18D10_00988",3419,3433,4107,4689,3274,4844,10877,12520,12302
"Shom_DM18D10_00989",6985,9711,7628,11953,8582,13005,25488,32417,35449
"Shom_DM18D10_00990",1482,1059,1914,502,486,701,712,912,993
"Shom_DM18D10_00991",8327,7457,12497,2084,1974,2336,3739,3608,4829
"Shom_DM18D10_00992",4190,3806,6503,1030,1019,1170,1782,1892,2376
"Shom_DM18D10_00993",1520,1040,2022,451,455,612,492,618,845
"Shom_DM18D10_00994",3763,2761,5469,799,826,1104,1165,1171,1481
"Shom_DM18D10_00995",4514,2604,5737,2767,2479,4284,3556,3166,2973
"Shom_DM18D10_00996",160,168,246,38,40,48,60,55,99
"Shom_DM18D10_00997",335,226,471,57,75,86,100,104,105
"Shom_DM18D10_00998",1202,933,1740,177,217,315,302,359,454
"Shom_DM18D10_00999",1654,1428,2405,254,292,411,424,452,647
"Shom_DM18D10_01000",121,103,183,48,33,56,70,56,88
"Shom_DM18D10_01001",269,250,359,89,80,112,127,102,171
"Shom_DM18D10_01002",0,0,0,0,1,0,0,0,0
"Shom_DM18D10_01003",67983,44201,41437,401312,359609,543681,336938,239752,411938
"Shom_DM18D10_01004",287,228,398,123,92,157,140,190,159
"Shom_DM18D10_01005",678,720,951,404,390,401,437,392,597
"Shom_DM18D10_01006",526,380,597,246,243,330,268,276,407
"Shom_DM18D10_01007",6593,4622,9068,3648,3645,4136,5076,5273,7159
"Shom_DM18D10_01008",5102,7625,5156,15890,13486,9741,26781,27209,21309
"Shom_DM18D10_01009",14780,13354,14678,31405,31945,27981,25718,23640,26136
"Shom_DM18D10_01010",10496,10855,10566,33737,35464,31285,29621,27353,28231
"Shom_DM18D10_01011",1129,1022,1097,743,863,837,1094,1236,1114
"Shom_DM18D10_01012",14421,13137,13821,11971,11436,11070,13681,12836,16532
"Shom_DM18D10_01013",13749,8614,16274,4737,4836,5856,5795,5557,5804
"Shom_DM18D10_01014",18654,7442,16250,22595,20203,30531,29812,38654,25983
"Shom_DM18D10_01015",5787,3971,7064,7164,6079,11769,9595,9170,11522
"Shom_DM18D10_01016",2379,1727,2924,2359,2330,2871,3199,3486,3565
"Shom_DM18D10_01017",2163,2400,2783,3963,3609,3144,3823,4031,5029
"Shom_DM18D10_01018",4603,2995,5004,6094,5572,6826,6221,5500,6109
"Shom_DM18D10_01019",3552,2270,2701,7266,7097,6395,10347,9141,6741
"Shom_DM18D10_01020",3128,2154,2494,6876,6568,6334,9952,8983,6403
"Shom_DM18D10_01021",4770,4167,7151,1741,1810,2361,2235,2579,3440
"Shom_DM18D10_01022",7228,5566,10395,2125,2164,3017,3049,3216,4425
"Shom_DM18D10_01023",8049,9744,7011,7775,7008,8943,10479,9058,8698
"Shom_DM18D10_01024",41128,50893,47060,29036,29225,21149,36811,30922,22865
"Shom_DM18D10_01025",40922,60955,43733,35049,36184,22183,44779,36101,28019
"Shom_DM18D10_01026",24674,48365,26726,27168,29778,12435,34798,27401,20794
"Shom_DM18D10_01027",26446,49408,29977,26969,29553,16033,31537,25480,24598
"Shom_DM18D10_01028",56829,97122,66133,53003,55622,50670,47183,45485,50100
"Shom_DM18D10_01029",1844,1658,1976,1886,1754,1755,2445,2181,2111
"Shom_DM18D10_01030",92395,30819,67783,781385,629098,987896,686491,523046,696457
