"","Shom_PJ_011","Shom_PJ_012","Shom_PJ_013","Shom_PJ_014","Shom_PJ_015","Shom_PJ_016","Shom_PJ_017","Shom_PJ_018","Shom_PJ_019"
"Shom_DM18D10_00425",21087,8311,23073,20992,18206,19521,24720,32311,25148
"Shom_DM18D10_00426",440,262,576,141,153,186,173,199,182
"Shom_DM18D10_00427",53952,40228,64997,58937,40418,47422,105875,75072,83750
"Shom_DM18D10_00428",6385,6584,7107,7759,5780,7342,13800,13041,18054
"Shom_DM18D10_00429",20467,22460,20403,23359,18312,25014,36258,35819,56799
"Shom_DM18D10_00430",9443,5208,11093,5634,5099,7769,7774,8075,8905
"Shom_DM18D10_00431",2780,1394,3251,1423,1419,1924,1987,2332,2169
"Shom_DM18D10_00432",82022,55810,102371,43604,39357,41070,58678,65152,47830
"Shom_DM18D10_00433",24839,19069,32775,5224,5905,7270,7925,10994,11148
"Shom_DM18D10_00434",19614,12369,24798,18103,16129,18085,16679,15844,17147
"Shom_DM18D10_00435",20529,14096,28522,15099,14000,9361,14616,15095,23093
"Shom_DM18D10_00436",10990,8192,14121,5349,5523,4906,4415,5687,6693
"Shom_DM18D10_00437",307400,126711,286570,335402,286048,305609,381396,460046,332364
"Shom_DM18D10_00438",1432,1219,1965,1571,1556,1604,1899,1856,2395
"Shom_DM18D10_00439",16585,14315,25204,10546,10347,9537,10481,7836,10432
"Shom_DM18D10_00440",14273,4895,11835,16808,14273,19723,22336,22396,16630
"Shom_DM18D10_00441",3765,4161,6953,2620,2776,2460,1983,1703,3419
"Shom_DM18D10_00442",3399,2943,4567,3118,2748,3325,2769,2791,4093
"Shom_DM18D10_00443",1548,1264,2055,1203,1009,1170,1123,1137,1635
"Shom_DM18D10_00444",2513,2871,3265,3081,2951,3128,2671,2298,4932
"Shom_DM18D10_00445",2587,3286,3203,2906,2929,2576,2659,2464,4918
"Shom_DM18D10_00446",9159,3250,6989,18239,14745,29445,18465,16386,23258
"Shom_DM18D10_00447",413,316,341,538,475,613,604,748,601
"Shom_DM18D10_00448",10833,7719,11800,22919,17573,18553,26965,24628,24293
"Shom_DM18D10_00449",868,713,1299,755,774,660,764,790,840
"Shom_DM18D10_00450",18671,12892,24742,13666,12649,13004,13793,17342,19525
"Shom_DM18D10_00451",2786828,1758213,3828272,3032887,2440696,4846421,3535425,3021648,3885572
"Shom_DM18D10_00452",12759,13084,13325,13923,13072,11801,19248,19952,18025
"Shom_DM18D10_00453",38345,49615,40399,58498,57855,38395,72373,77773,64744
"Shom_DM18D10_00454",9691,13422,11219,14676,15085,9830,17846,19864,17307
"Shom_DM18D10_00455",1923,1569,3085,1084,1131,1137,902,956,1366
"Shom_DM18D10_00456",5080,4680,7742,2332,2432,2549,2802,2798,3494
"Shom_DM18D10_00457",267995,394530,287411,170986,162527,160707,206547,202237,195987
"Shom_DM18D10_00458",323295,471617,320859,124748,120278,116060,159251,174161,175368
"Shom_DM18D10_00459",154232,209390,144522,57631,54769,55305,76326,85097,77718
"Shom_DM18D10_00460",189877,208673,179337,12474,12468,6386,15400,11895,12934
"Shom_DM18D10_00461",2313820,1378945,2918275,52606,46083,39255,63803,50331,57594
"Shom_DM18D10_00462",533748,327057,585144,9774,9505,10775,11835,12348,16728
"Shom_DM18D10_00463",3162,1455,3271,2756,2354,3866,3749,4646,4335
"Shom_DM18D10_00464",17920,17387,29367,17380,16458,14096,17879,14886,19399
"Shom_DM18D10_00465",0,1,2,0,0,0,1,0,0
"Shom_DM18D10_00466",30542,18172,42336,16338,15114,19352,16726,15786,18797
"Shom_DM18D10_00467",886,620,1051,535,487,554,466,469,501
"Shom_DM18D10_00468",66118,44160,84101,49936,46634,57004,64353,64034,76168
"Shom_DM18D10_00470",5692,8286,5471,4989,5383,3828,7371,6395,7274
"Shom_DM18D10_00471",6447,11864,7006,7357,8310,4950,10113,8715,9590
"Shom_DM18D10_00472",4766,7254,5395,4852,5459,3047,5177,5291,5801
"Shom_DM18D10_00473",46307,36047,62146,19952,18906,18700,25720,23499,29603
"Shom_DM18D10_00474",21801,22793,28884,7906,8331,8418,10177,10126,12709
"Shom_DM18D10_00475",15150,15159,19071,5484,5615,6303,7282,7305,8498
"Shom_DM18D10_00476",24694,27712,26829,10151,10504,10533,12030,11822,14232
"Shom_DM18D10_00477",22847,25767,21886,10183,11194,11147,10368,11357,13170
"Shom_DM18D10_00478",28017,33961,30934,38321,35204,33117,45298,43642,47189
"Shom_DM18D10_00479",23601,26130,27268,28398,27271,26053,27195,27293,36834
"Shom_DM18D10_00480",7147,5987,11137,1794,2137,2392,2237,2590,2939
"Shom_DM18D10_00481",34976,29208,51830,11713,12945,13117,12322,13885,17557
"Shom_DM18D10_00482",55,68,69,13,15,19,34,30,24
"Shom_DM18D10_00483",8190,8778,11394,2701,2557,2088,3687,2717,3165
"Shom_DM18D10_00484",17013,16408,19425,8311,7860,8128,15148,12802,13666
"Shom_DM18D10_00485",99915,82801,144626,48776,47775,48006,58552,54521,71274
"Shom_DM18D10_00486",116961,41691,86096,394107,304213,868025,417913,353056,736742
"Shom_DM18D10_00487",1319,946,1397,663,709,991,886,896,1262
"Shom_DM18D10_00488",1706,1390,1712,1045,1076,1317,1134,1023,1541
