"","Shom_PJ_020","Shom_PJ_021","Shom_PJ_022","Shom_PJ_023","Shom_PJ_024","Shom_PJ_025","Shom_PJ_026","Shom_PJ_027","Shom_PJ_028"
"Shom_DM21B05_02000",17475,12768,11888,14529,14930,9069,4676,4989,9654
"Shom_DM21B05_02001",7458,5194,5113,6368,6438,3747,3112,3055,4061
"Shom_DM21B05_02002",12560,8927,8919,9683,10067,5770,4262,4227,6457
"Shom_DM21B05_02003",61751,45785,44649,36599,35749,20247,16222,15573,26618
"Shom_DM21B05_02004",48334,37591,38469,28549,26587,19270,18491,18018,21533
"Shom_DM21B05_02005",73231,56964,59228,44994,41360,36573,35306,42287,35947
"Shom_DM21B05_02006",41550,31597,35093,20023,20156,19247,17282,17362,22916
"Shom_DM21B05_02007",9335,7112,6982,7560,7220,7431,11052,9181,6091
"Shom_DM21B05_02008",41455,32563,34053,34816,34225,28610,27207,33484,31035
"Shom_DM21B05_02009",7609,5494,5746,5450,5361,4478,4531,4799,4798
"Shom_DM21B05_02010",24848,18879,20482,18178,18621,14815,15628,17717,15805
"Shom_DM21B05_02011",39144,30749,30656,18917,18288,15815,12483,14902,17364
"Shom_DM21B05_02012",75593,60307,59264,36096,33768,31181,16538,19558,32449
"Shom_DM21B05_02013",7761,6567,6684,5947,5859,5285,7679,7937,5680
"Shom_DM21B05_02014",18796,14489,13498,16569,16245,16024,21069,19972,15157
"Shom_DM21B05_02015",12488,10336,10169,9503,9326,7208,9523,11738,7571
"Shom_DM21B05_02016",16222,12401,9068,18285,15297,20392,35505,37046,12394
"Shom_DM21B05_02017",14766,12090,11029,24281,24489,18580,15915,34312,24721
"Shom_DM21B05_02018",12375,9338,10422,8229,8842,5767,7379,8011,6601
"Shom_DM21B05_02019",31725,25022,26930,19420,20623,14171,12541,13659,16116
"Shom_DM21B05_02020",2923,2276,2389,2315,2382,1483,1704,1962,1379
"Shom_DM21B05_02021",19621,15445,15694,14843,14458,9222,9202,10895,8757
"Shom_DM21B05_02022",74409,56878,54402,40656,38481,32295,17753,19243,35450
"Shom_DM21B05_02023",27371,21499,18917,19514,18480,17739,14686,15719,14439
"Shom_DM21B05_02024",10485,8035,7389,7829,7256,7036,8660,8691,5496
"Shom_DM21B05_02025",16466,13592,12115,11750,11356,11534,9609,10038,9049
"Shom_DM21B05_02026",6541,4848,5880,3312,3590,2569,3332,2828,3139
"Shom_DM21B05_02027",15983,11891,14573,7833,8312,6583,7469,6600,7730
"Shom_DM21B05_02028",19679,14469,18457,9860,10893,8312,10191,8941,9761
"Shom_DM21B05_02029",13214,10045,11118,7472,7803,5525,8286,7026,5663
"Shom_DM21B05_02030",20509,15883,15942,12055,12696,9620,14430,12138,8353
"Shom_DM21B05_02031",20093,16515,15999,21493,20481,18307,16254,17842,19644
"Shom_DM21B05_02032",26019,20689,19999,27960,26403,23168,19060,22762,26183
"Shom_DM21B05_02033",17684,14778,13933,19191,18705,16459,11353,13831,17518
"Shom_DM21B05_02034",37153,29986,29738,39536,37445,33430,20581,23266,35338
"Shom_DM21B05_02035",18444,14132,14157,19625,18495,17562,12943,13478,16669
"Shom_DM21B05_02036",80924,61390,58455,86299,76831,74967,49252,53750,69792
"Shom_DM21B05_02037",9796,7542,8696,3960,3996,3450,3613,3852,4286
"Shom_DM21B05_02038",6415,5240,5680,2568,2870,2454,2197,2454,2875
"Shom_DM21B05_02039",17594,13708,15788,7250,7439,6449,5000,5721,8299
"Shom_DM21B05_02040",18534,15081,17031,7946,8052,6951,5135,5678,8804
"Shom_DM21B05_02041",10772,8739,9198,4634,4643,3817,2793,3226,4793
"Shom_DM21B05_02042",17142,13632,14506,7425,7448,6069,4495,5314,7253
"Shom_DM21B05_02043",6466,5069,5194,3081,3060,2650,3462,3601,2867
"Shom_DM21B05_02044",35729,29683,26099,27326,26241,24832,28808,31908,21266
"Shom_DM21B05_02045",37690,32324,28910,27644,26651,25481,28067,31481,23260
"Shom_DM21B05_02046",835,716,597,458,471,419,311,339,334
"Shom_DM21B05_02047",4599,3804,3523,3570,3349,2784,3325,3070,2624
"Shom_DM21B05_02048",531,498,417,484,517,349,466,603,439
"Shom_DM21B05_02049",5471,4359,3535,4619,4474,3567,4983,5266,3382
"Shom_DM21B05_02050",25909,18991,21435,9756,10458,6955,12932,8093,11460
"Shom_DM21B05_02051",50078,37937,40697,28745,29469,23883,13477,14201,26427
"Shom_DM21B05_02052",6387,4885,4687,3440,3656,2433,2073,2324,2972
"Shom_DM21B05_02053",95466,70668,69404,89418,88728,71043,76647,67643,56149
"Shom_DM21B05_02054",67566,48948,46271,60970,60482,46349,46591,43566,37129
"Shom_DM21B05_02055",266253,191978,171919,281470,280345,277188,200335,170179,206373
"Shom_DM21B05_02056",34556,25071,23551,25885,26236,21918,21212,18004,17928
"Shom_DM21B05_02057",32239,23010,21197,22962,21811,19393,21105,16955,14697
"Shom_DM21B05_02058",6463,4835,5118,3994,4367,2701,3612,3846,3167
"Shom_DM21B05_02059",49860,38414,42279,28113,31416,19598,24738,24429,22292
"Shom_DM21B05_02060",49501,40858,39567,42400,42797,41658,81156,66664,43320
"Shom_DM21B05_02061",14065,11317,9886,10739,9570,8513,7066,6830,7219
"Shom_DM21B05_02062",68069,50267,44444,50122,46650,41819,24794,23344,36634
"Shom_DM21B05_02063",73622,58087,49991,52411,50462,48377,26961,27466,43558
"Shom_DM21B05_02064",46900,38266,29257,34799,32021,35606,39095,39993,22267
"Shom_DM21B05_02065",14236,11343,8998,10281,9200,10742,13451,13698,6441
"Shom_DM21B05_02066",28519,22976,18679,17227,16040,17759,10988,11179,13045
"Shom_DM21B05_02067",43362,34525,28384,24759,23024,27259,22390,23992,18780
"Shom_DM21B05_02068",22142,17417,15162,11814,11477,11412,8683,8761,9280
