"","Shom_PJ_020","Shom_PJ_021","Shom_PJ_022","Shom_PJ_023","Shom_PJ_024","Shom_PJ_025","Shom_PJ_026","Shom_PJ_027","Shom_PJ_028"
"Shom_DM21B05_02234",367,314,240,5733,4139,1064,7419,5788,5998
"Shom_DM21B05_02235",168,163,100,5683,4089,951,9268,6409,5374
"Shom_DM21B05_02236",10785,8612,6742,8681,7994,7013,8847,9259,4979
"Shom_DM21B05_02237",1670,1420,1221,1761,1815,1217,1273,2007,2070
"Shom_DM21B05_02238",1022,728,661,1250,1320,520,819,933,466
"Shom_DM21B05_02239",4747,3229,3242,3031,3216,2964,5745,7412,3257
"Shom_DM21B05_02240",22720,17558,18266,13056,13527,10518,16781,15975,9148
"Shom_DM21B05_02241",7809,6135,5876,5693,5599,4875,3292,3867,4330
"Shom_DM21B05_02242",62153,49101,50289,42149,43041,27408,28309,28473,22476
"Shom_DM21B05_02243",29418,23055,24847,20057,19461,15146,20158,17153,16652
"Shom_DM21B05_02244",15003,11631,11689,11496,11213,9412,11470,10966,9639
"Shom_DM21B05_02245",39174,28699,31586,24264,24262,16307,9364,9073,17301
"Shom_DM21B05_02246",50167,34697,37578,22173,24491,15443,7148,8565,18102
"Shom_DM21B05_02247",12886,8653,9590,6384,6669,4384,2841,3326,5176
"Shom_DM21B05_02248",7698,6169,5778,5432,5060,4245,6604,6988,3991
"Shom_DM21B05_02249",4215,3375,2918,2761,2731,2371,4107,3823,1984
"Shom_DM21B05_02250",3403,2656,2369,1927,1896,1383,1654,1761,1439
"Shom_DM21B05_02251",120531,95147,63959,170141,164794,143135,98494,116800,180857
"Shom_DM21B05_02252",180791,138194,151412,105699,104306,78755,56725,48515,130891
"Shom_DM21B05_02253",3813,2927,3411,2011,1965,1921,3660,3058,2125
"Shom_DM21B05_02254",31677,23591,23292,18360,17952,14946,14633,15962,14640
"Shom_DM21B05_02255",11104,8657,8643,6735,6486,5373,3991,4810,5715
"Shom_DM21B05_02256",11229,9057,8618,6343,6067,4957,5669,5937,4702
"Shom_DM21B05_02257",18335,14369,14199,9515,9286,9998,22397,16696,8694
"Shom_DM21B05_02258",175450,134832,118348,115003,110771,94510,74080,79295,82234
"Shom_DM21B05_02259",6544,5105,4114,4695,4785,3112,3010,4264,3416
"Shom_DM21B05_02260",886,583,426,2558,3338,401,698,832,417
"Shom_DM21B05_02261",11560,8539,6712,11793,12182,7992,10243,8776,4980
"Shom_DM21B05_02262",31781,24937,24359,8349,9392,7382,6570,6602,9671
"Shom_DM21B05_02263",19185,14667,15037,4856,5627,4576,5274,4977,6032
"Shom_DM21B05_02264",1822,1480,1284,343,331,247,405,409,328
"Shom_DM21B05_02265",29261,24171,26318,5612,5625,3699,9349,8930,7371
"Shom_DM21B05_02266",17380,14036,13436,12325,11995,7813,14589,14249,10984
"Shom_DM21B05_02267",7571,6279,5522,7211,6573,8124,7704,7764,5193
"Shom_DM21B05_02268",40013,31802,30159,21533,22256,17344,25071,27585,22404
"Shom_DM21B05_02269",7581,6447,5222,8688,9203,4920,9055,11824,11619
"Shom_DM21B05_02270",5749,5211,4107,7186,7402,4131,7129,9716,9275
"Shom_DM21B05_02271",5110,4787,3282,6009,6006,3308,7619,10225,7832
"Shom_DM21B05_02272",2609,2499,1457,2634,2844,1417,5220,6203,3780
"Shom_DM21B05_02273",8011,6725,6008,24697,22563,20244,18934,19563,16443
"Shom_DM21B05_02274",4379,3327,3082,3146,3329,2290,3226,3090,2181
"Shom_DM21B05_02275",4996,3860,3543,3774,4116,3164,5143,4363,2861
"Shom_DM21B05_02276",15908,12978,11267,12651,11827,9858,9965,8712,8397
"Shom_DM21B05_02277",4746,3782,3073,3277,3406,2728,3861,4637,2391
"Shom_DM21B05_02278",6032,4689,4582,4907,4662,4555,5268,8621,4195
"Shom_DM21B05_02279",73615,57151,52897,20568,19350,21975,17544,20593,18906
"Shom_DM21B05_02280",9274,7879,7125,7233,7002,6195,5075,7505,7216
"Shom_DM21B05_02281",724,574,570,495,518,430,1106,936,388
"Shom_DM21B05_02282",7975,5976,5993,5130,5671,4234,4281,4649,3662
"Shom_DM21B05_02283",7290,5247,5480,4697,5146,3828,3928,4097,3628
"Shom_DM21B05_02284",32802,24919,23839,24909,24912,26204,19471,21935,19994
"Shom_DM21B05_02285",10682,8303,7424,8547,8212,7276,6092,7564,6039
"Shom_DM21B05_02286",2448,1866,1565,1752,1816,1602,1063,1423,1252
"Shom_DM21B05_02287",10777,8054,7281,7377,7456,6710,4042,5157,4934
"Shom_DM21B05_02288",13437,9906,9542,9658,10393,11558,6326,9441,6397
"Shom_DM21B05_02289",8562,6818,6589,6361,6810,7336,4767,7038,4420
"Shom_DM21B05_02290",5473,4187,3753,3918,3913,4150,3414,4425,2986
"Shom_DM21B05_02291",34115,25955,24755,25984,25988,27203,20530,23245,20744
"Shom_DM21B05_02292",38309,27677,26266,31626,33362,19264,13342,19710,21957
"Shom_DM21B05_02293",49795,37344,36890,41201,43392,30205,22394,31371,31394
"Shom_DM21B05_02294",18775,12731,11674,12546,12556,7881,8239,10241,8145
"Shom_DM21B05_02295",32662,24837,23724,24826,24790,26094,19351,21766,19855
"Shom_DM21B05_02296",351,323,289,362,391,281,568,623,285
"Shom_DM21B05_02297",771,612,590,673,734,570,1104,1129,542
"Shom_DM21B05_02298",867,660,595,2753,3012,3978,9277,12086,3459
"Shom_DM21B05_02299",798,505,530,2903,2554,3331,5118,5456,2862
"Shom_DM21B05_02300",15012,11592,11796,14190,16486,8059,11003,10596,6710
