"","Scap_PJ_001","Scap_PJ_002","Scap_PJ_003","Scap_PJ_004","Scap_PJ_005","Scap_PJ_006","Scap_PJ_007","Scap_PJ_008","Scap_PJ_009"
"Scap_DM21G11_01212",17786,18185,17718,44533,27661,46498,31088,27766,28565
"Scap_DM21G11_01213",7372,8124,9607,14587,9921,16025,9941,9244,9116
"Scap_DM21G11_01214",14862,17104,20815,27443,19388,34527,22239,21225,22308
"Scap_DM21G11_01215",12544,13785,17198,9813,7230,10793,9467,8415,7751
"Scap_DM21G11_01216",28134,31575,43415,25337,22233,34220,31955,32363,30496
"Scap_DM21G11_01217",7769,8114,8103,3342,2386,3955,3052,2652,2522
"Scap_DM21G11_01218",14841,16196,21336,26130,19824,33809,25360,25801,24898
"Scap_DM21G11_01219",37622,37487,37453,28600,21157,34824,19030,19241,17911
"Scap_DM21G11_01220",23069,16782,15680,46415,26507,44273,29566,30545,31159
"Scap_DM21G11_01221",1408,1372,1969,3251,2257,3897,2902,2942,2604
"Scap_DM21G11_01222",15377,17922,21243,16722,13132,20625,16321,17129,16166
"Scap_DM21G11_01223",10091,11047,12025,7584,5480,8581,6286,5975,5955
"Scap_DM21G11_01224",8357,9035,10795,7578,5843,10048,6638,7444,6900
"Scap_DM21G11_01225",18554,20413,23412,17072,12516,20195,13087,12876,12170
"Scap_DM21G11_01226",37077,39826,54079,32959,26050,41415,34089,35295,33006
"Scap_DM21G11_01227",14161,14781,16740,17072,13311,21250,12033,12492,10893
"Scap_DM21G11_01228",18313,18178,19684,18983,14048,21607,11829,11474,9964
"Scap_DM21G11_01229",15017,15367,15608,11959,8787,14060,8232,7504,6739
"Scap_DM21G11_01230",5602,6993,7312,2613,2166,3188,3866,3862,3477
"Scap_DM21G11_01231",11219,13408,15339,6352,5534,7617,9360,8698,8158
"Scap_DM21G11_01232",8313,9698,11740,5362,3884,5375,5885,4954,4342
"Scap_DM21G11_01233",19930,25116,30310,14754,13248,18519,18725,17732,16404
"Scap_DM21G11_01234",30265,36987,38411,16789,14544,22306,20130,19949,19613
"Scap_DM21G11_01235",2255,2793,3273,9069,6191,9587,9281,8012,7684
"Scap_DM21G11_01236",2154,2691,2999,8874,6411,9402,9093,7773,7439
"Scap_DM21G11_01237",1735,2476,2595,5849,4485,6428,6676,6090,5665
"Scap_DM21G11_01238",8242,10618,12560,25582,21299,32768,33471,32471,30116
"Scap_DM21G11_01239",5870,7567,8495,16084,12943,19262,18835,17019,15114
"Scap_DM21G11_01240",7850,10331,10689,19605,14708,22876,20558,19187,17474
"Scap_DM21G11_01241",12479,14006,16054,9603,7679,12148,10113,11336,9938
"Scap_DM21G11_01242",7424,7949,9081,4461,3389,5133,3880,3817,3287
"Scap_DM21G11_01243",28054,31608,40448,20330,16986,27066,21394,23119,21903
"Scap_DM21G11_01244",15004,16151,20790,10576,8285,12763,9711,9791,9411
"Scap_DM21G11_01245",6971,7590,9100,4236,3305,5472,3576,4024,3894
