"","Sepi_PJ_019","Sepi_PJ_020","Sepi_PJ_021","Sepi_PJ_022","Sepi_PJ_023","Sepi_PJ_024","Sepi_PJ_025","Sepi_PJ_026","Sepi_PJ_027"
"Sepi_DM21B07_00344",950,878,1203,2849,3722,3660,5996,5624,4706
"Sepi_DM21B07_00345",1990,1653,2486,5535,6778,7388,11789,10312,8530
"Sepi_DM21B07_00346",7982,6208,6428,4516,5609,5151,5325,5580,4580
"Sepi_DM21B07_00347",277885,231496,321495,276910,284192,298008,234706,235678,191017
"Sepi_DM21B07_00348",366631,301960,433093,362891,375780,414758,306620,300817,249809
"Sepi_DM21B07_00349",136007,119818,169998,105940,109734,126424,102694,105808,87995
"Sepi_DM21B07_00350",9447,8048,8494,5609,7696,7050,9597,10896,9501
"Sepi_DM21B07_00351",6355,5177,6957,8447,11790,12179,10116,10323,8430
"Sepi_DM21B07_00352",17637,14178,19147,18504,23909,24692,25523,26720,22619
"Sepi_DM21B07_00353",5198,4259,5469,5134,7096,7745,6662,7159,5764
"Sepi_DM21B07_00354",12912,9798,11548,71603,80583,69637,114067,124659,106625
"Sepi_DM21B07_00355",6946,5022,6102,35373,42344,38812,48496,50344,42504
"Sepi_DM21B07_00356",12068,10563,10133,6121,8343,8359,10720,12004,9735
"Sepi_DM21B07_00357",216,190,235,93,156,150,244,235,208
"Sepi_DM21B07_00358",8331,5924,7816,4240,9657,9335,12256,18496,15205
"Sepi_DM21B07_00359",54177,37627,50814,31425,62650,58883,75569,115351,97629
"Sepi_DM21B07_00360",9594,6441,7979,17577,18139,16575,17570,16422,13751
"Sepi_DM21B07_00361",22909,15387,18502,31337,32013,30489,27616,26290,21381
"Sepi_DM21B07_00362",943,848,962,964,1153,1141,2114,1742,1343
"Sepi_DM21B07_00363",22061,15569,18783,13132,18376,17820,20033,22850,19225
"Sepi_DM21B07_00364",5,3,7,1,5,7,3,3,2
"Sepi_DM21B07_00365",484577,416564,495303,315109,400414,372728,306228,330713,278514
"Sepi_DM21B07_00366",56606,45633,50351,24754,32487,31769,42670,44444,36401
"Sepi_DM21B07_00367",63179,89371,77901,26240,26205,27955,35699,34395,28090
"Sepi_DM21B07_00368",503,596,477,4216,3659,3541,6903,6024,4687
"Sepi_DM21B07_00369",314,329,328,1464,1454,1675,2483,1858,1580
"Sepi_DM21B07_00370",12771,10579,9931,15206,19715,19275,16086,17428,14064
"Sepi_DM21B07_00371",20339,17866,22958,120908,128043,141008,64843,62603,53092
"Sepi_DM21B07_00372",338,289,330,458,399,436,279,309,259
"Sepi_DM21B07_00373",3613,4165,3371,10789,10405,11506,7986,6997,5758
"Sepi_DM21B07_00374",602,587,564,1366,1497,1615,1203,956,814
"Sepi_DM21B07_00375",2382,2429,2386,246840,222802,292542,189948,165610,135684
"Sepi_DM21B07_00376",2539,1821,2150,3437,5034,4835,7090,7600,6189
"Sepi_DM21B07_00377",33902,21693,27528,33441,45258,44595,101124,111200,92922
"Sepi_DM21B07_00378",2981,1822,2281,2142,2787,2819,8345,8802,7227
"Sepi_DM21B07_00379",10621,9038,9181,12214,16134,14854,14820,16174,13716
"Sepi_DM21B07_00380",10512,9322,9024,10175,13438,12476,12341,13370,11117
"Sepi_DM21B07_00381",44176,45776,32362,18512,27398,21851,21065,24248,20313
"Sepi_DM21B07_00382",7484,5181,6727,6288,7942,7876,8024,8206,6493
"Sepi_DM21B07_00383",3635,3717,3531,1932,3060,3028,2507,2457,1977
"Sepi_DM21B07_00384",259955,197050,191884,285850,362801,335140,346287,360319,299893
"Sepi_DM21B07_00385",10543,9009,9303,12629,14456,13663,18449,16957,14546
"Sepi_DM21B07_00386",1471,306,413,142,179,208,276,265,245
"Sepi_DM21B07_00387",15542,10550,11848,15460,13879,14526,23257,23630,19470
"Sepi_DM21B07_00388",109348,100517,118531,88643,77709,83676,163019,164233,137128
"Sepi_DM21B07_00389",159191,142206,115450,17979,16946,17600,10685,10728,8730
"Sepi_DM21B07_00390",259,242,216,27,34,32,16,23,18
"Sepi_DM21B07_00391",7208,5904,6126,4983,6509,6263,6707,7916,6666
"Sepi_DM21B07_00392",26202,20757,24566,86168,95132,91432,54815,58509,48145
"Sepi_DM21B07_00393",9281,8089,7724,6015,7486,6837,7887,8442,6820
"Sepi_DM21B07_00394",2136,2138,2584,1363,1846,1932,2606,2510,2241
"Sepi_DM21B07_00395",10512,7558,10806,9028,12615,12458,12588,13507,11351
"Sepi_DM21B07_00396",106,99,83,202,188,183,10884,3659,3052
"Sepi_DM21B07_00397",2530,1945,2509,4209,5291,5074,30363,11103,9258
"Sepi_DM21B07_00398",545,416,556,778,976,1053,6094,2135,1747
"Sepi_DM21B07_00399",2718,2394,2996,3548,4338,4474,30155,11029,8977
"Sepi_DM21B07_00400",579,568,637,772,849,913,5984,2314,1979
"Sepi_DM21B07_00401",4777,4179,5188,5921,6795,7238,42878,15103,12360
"Sepi_DM21B07_00402",39248,25453,32979,49693,68384,72001,57268,72430,60735
"Sepi_DM21B07_00403",9012,6164,7716,12933,17475,18708,13564,16070,13527
"Sepi_DM21B07_00404",51916,35991,45224,71274,92444,96029,76231,93406,77785
"Sepi_DM21B07_00405",18096,13540,16979,21090,28947,31465,28628,34086,27700
"Sepi_DM21B07_00406",1125,883,987,1020,1265,1101,1381,1608,1392
"Sepi_DM21B07_00407",70947,46103,34757,266516,397757,409296,216416,253479,211282
"Sepi_DM21B07_00408",18796,13356,9804,73472,113860,121946,56806,65653,54379
"Sepi_DM21B07_00409",39717,30530,22070,167640,244064,265732,133133,138340,114988
"Sepi_DM21B07_00410",33547,26677,29824,34507,39393,35808,49939,52714,44488
"Sepi_DM21B07_00411",306,288,316,196,262,209,351,326,257
"Sepi_DM21B07_00412",428,433,448,288,347,350,318,308,285
"Sepi_DM21B07_00413",9065,8035,7846,6204,7555,7192,7450,8153,6784
"Sepi_DM21B07_00414",2872,2606,2388,1972,2454,2429,2344,2449,2066
"Sepi_DM21B07_00415",451,408,461,205,290,286,281,267,256
"Sepi_DM21B07_00416",14199,12756,12346,20023,29474,29200,21115,22524,17945
"Sepi_DM21B07_00417",25140,15700,21593,167720,216781,205206,213574,230898,193700
"Sepi_DM21B07_00418",41,29,27,122,211,230,282,342,300
"Sepi_DM21B07_00419",2697,2041,2796,2628,2664,2433,3049,2801,2338
"Sepi_DM21B07_00420",7323,6064,5461,18116,17075,15776,15787,15113,12645
"Sepi_DM21B07_00421",8353,6469,7907,3700,5010,4355,5551,5882,5015
"Sepi_DM21B07_00422",4626,3697,4366,2053,2400,2243,3281,3416,2817
"Sepi_DM21B07_00423",5991,3978,5210,11175,11546,10159,11478,11390,9406
"Sepi_DM21B07_00424",19451,17730,22742,4547,6495,6297,9118,10291,8742
"Sepi_DM21B07_00425",20266,14605,19886,16630,21360,21114,25168,25282,21249
"Sepi_DM21B07_00426",27126,23344,29475,49286,57599,60182,62946,66214,56087
"Sepi_DM21B07_00427",11520,10118,10748,5512,6678,6662,6911,7439,6180
"Sepi_DM21B07_00428",1198,1114,1269,2272,1928,2183,2711,2551,2097
"Sepi_DM21B07_00429",588,529,573,1255,1050,1190,1376,1267,1073
"Sepi_DM21B07_00430",223,204,204,457,389,428,518,516,383
"Sepi_DM21B07_00431",800,875,850,1800,1721,1839,2336,2147,1878
"Sepi_DM21B07_00432",437,335,351,869,875,896,1078,1071,915
"Sepi_DM21B07_00433",3151,2672,3254,69883,77615,75112,78600,104450,86986
"Sepi_DM21B07_00434",9283,7485,7253,6401,9572,9389,8680,9915,7981
"Sepi_DM21B07_00435",14805,11485,14894,10597,12441,11944,13067,13248,11065
"Sepi_DM21B07_00436",12371,10125,10487,15542,17141,15926,14714,15490,12863
"Sepi_DM21B07_00437",10452,8131,8704,9226,11438,11147,10052,10453,8658
"Sepi_DM21B07_00438",287,248,245,285,268,197,17636,6618,5643
"Sepi_DM21B07_00439",10704,6593,8966,2689,3288,3213,4006,4003,3317
"Sepi_DM21B07_00440",12649,7958,10279,9769,10641,9960,8031,8021,6686
"Sepi_DM21B07_00441",13818,13646,11899,11947,12147,14204,13636,14317,11846
"Sepi_DM21B07_00442",752,641,433,3194,4230,3912,3881,4401,3623
"Sepi_DM21B07_00443",1127,1029,762,4192,5523,5388,4676,4645,3861
"Sepi_DM21B07_00444",3717,3381,3662,8031,8780,9900,9720,9697,8046
"Sepi_DM21B07_00445",64480,56249,53470,40757,54369,53042,70007,79968,66318
"Sepi_DM21B07_00446",61981,54980,67240,57466,61177,64685,74177,74692,62919
"Sepi_DM21B07_00447",47513,38022,45520,19088,24159,22090,32301,37586,31839
"Sepi_DM21B07_00448",8987,6832,7496,5398,7261,7138,6631,7424,5980
"Sepi_DM21B07_00449",27716,25009,25675,13660,18565,18032,16815,18081,14281
"Sepi_DM21B07_00450",61151,45473,47247,209516,244912,223970,196452,191285,159346
"Sepi_DM21B07_00451",0,1,3,0,1,2,2,2,1
"Sepi_DM21B07_00452",6005,5281,4354,6258,8002,6855,6619,6800,5655
"Sepi_DM21B07_00453",11167,11200,8307,14226,17744,14981,14119,14759,12277
"Sepi_DM21B07_00454",27944,23488,25980,44082,46411,47842,76949,66390,55700
"Sepi_DM21B07_00455",11034,11320,8254,17323,18308,17498,18464,18817,15480
"Sepi_DM21B07_00456",345,295,282,1212,1229,1328,873,839,605
"Sepi_DM21B07_00457",3307,3394,2425,4835,5956,4517,6370,6835,5696
"Sepi_DM21B07_00458",5266,5376,3801,8959,13450,10945,9667,9791,8175
"Sepi_DM21B07_00459",3949,3207,3340,5084,7519,7302,6267,6156,4803
"Sepi_DM21B07_00460",5916,5736,3966,9653,11803,10755,10223,10754,8959
"Sepi_DM21B07_00461",2484,1821,2125,1707,2085,1852,2318,2410,2032
"Sepi_DM21B07_00462",5560,4703,5181,1641,2008,1913,2696,3153,2738
"Sepi_DM21B07_00463",4163,3311,3881,1319,1647,1461,2006,2468,1947
"Sepi_DM21B07_00464",7331,5487,6956,5503,6780,6599,6920,6981,5707
"Sepi_DM21B07_00465",10123,7467,8632,7118,8541,7977,9586,9831,8308
"Sepi_DM21B07_00466",5973,6794,6147,3176,3343,3816,4408,4179,3416
"Sepi_DM21B07_00467",13087,9017,11752,9551,10624,9512,15269,16053,13674
"Sepi_DM21B07_00468",39644,38591,47735,13144,15566,17276,29028,30578,25094
"Sepi_DM21B07_00469",138555,115961,148186,166177,205531,218750,232573,244887,204093
"Sepi_DM21B07_00470",36102,26876,35971,59407,72343,71514,60421,56694,46559
"Sepi_DM21B07_00471",8204,6003,8234,12930,15387,15650,14114,13423,10842
"Sepi_DM21B07_00472",26654,20617,28267,41530,51045,50945,45273,42580,34921
"Sepi_DM21B07_00473",21634,16492,22066,29695,36916,35344,35926,34565,28066
"Sepi_DM21B07_00474",98522,80056,83005,47532,59265,56252,102002,105407,88544
"Sepi_DM21B07_00475",44151,36206,38080,25112,30926,29253,43216,47233,39728
"Sepi_DM21B07_00476",4827,4014,4176,5657,6710,6416,8076,7645,6262
"Sepi_DM21B07_00477",11176,10869,9464,13576,13370,13687,16773,16291,13790
"Sepi_DM21B07_00478",18421,20541,24574,7647,9092,10341,15103,14503,11849
"Sepi_DM21B07_00479",3192,2783,3293,8202,10300,10728,18595,18964,15802
"Sepi_DM21B07_00480",5083,4096,4263,1770,2071,1896,3194,3334,2674
"Sepi_DM21B07_00481",8142,5880,7450,4996,6530,6079,7374,7205,5891
"Sepi_DM21B07_00482",6478,4612,5796,2077,3165,3262,2906,3272,2729
"Sepi_DM21B07_00483",7705,5975,7534,38451,43947,42271,41574,39196,33666
"Sepi_DM21B07_00484",4764,3511,4229,3414,4495,4197,4665,4748,3830
"Sepi_DM21B07_00485",13382,9236,11556,5484,7311,6585,9596,9860,8481
"Sepi_DM21B07_00486",14020,15043,14461,8638,9109,9239,12875,12327,10188
"Sepi_DM21B07_00487",38752,26950,34575,32148,31668,29633,30727,31173,26630
"Sepi_DM21B07_00488",18524,14260,19165,21635,22105,21808,19983,19037,16091
"Sepi_DM21B07_00489",26623,21817,21500,11496,13805,12717,18259,18771,16014
"Sepi_DM21B07_00490",2523,2206,2086,933,1332,1344,1607,1572,1279
"Sepi_DM21B07_00491",16536,14786,14094,6911,8662,8042,11235,12299,10452
"Sepi_DM21B07_00492",27683,17849,22499,25013,33043,31285,30475,30952,26096
"Sepi_DM21B07_00493",76170,60715,72609,52315,86313,86420,68210,81393,68468
"Sepi_DM21B07_00494",33726,24652,34828,21270,32304,32918,28638,34848,29140
"Sepi_DM21B07_00495",56010,41077,57870,35044,50000,49073,46372,55396,46081
"Sepi_DM21B07_00496",2318,1540,1979,231,388,356,622,757,672
"Sepi_DM21B07_00497",56729,42593,47714,17476,24980,22516,32333,41198,34164
"Sepi_DM21B07_00498",7473,6101,6038,6704,7831,7640,7031,7000,5789
"Sepi_DM21B07_00499",8647,6986,6969,6525,8000,7491,6543,7064,5858
"Sepi_DM21B07_00500",1749,1636,1602,1096,1364,1322,1323,1441,1192
"Sepi_DM21B07_00501",11427,9494,9029,4293,5495,5710,3635,3879,3133
"Sepi_DM21B07_00502",3789,2770,3622,1137,1319,1391,1669,1974,1661
"Sepi_DM21B07_00503",10,13,11,5,9,2,10,6,6
"Sepi_DM21B07_00504",30784,23263,31185,4711,6148,7121,6589,7187,5965
"Sepi_DM21B07_00505",3728,3148,3270,3038,4005,3956,3787,3919,3285
"Sepi_DM21B07_00506",13203,9062,11975,23531,24151,26721,19983,19975,16377
"Sepi_DM21B07_00507",2819,1821,2414,4754,4734,5172,3817,3761,3093
"Sepi_DM21B07_00508",10775,7365,9195,15564,15505,16818,13110,13768,11481
"Sepi_DM21B07_00509",12325,9950,6641,33087,35834,30110,25336,23188,19281
"Sepi_DM21B07_00510",6821,5536,3913,19803,18749,16650,13959,13311,10916
"Sepi_DM21B07_00511",4109,3287,2575,11051,9422,8201,9478,9035,7815
"Sepi_DM21B07_00512",5762,4300,4129,11818,10590,10005,9588,9639,8163
"Sepi_DM21B07_00513",6152,4964,4772,12029,11392,11129,10072,9864,8271
"Sepi_DM21B07_00514",8838,7429,6875,15913,14872,14636,12984,13368,11049
"Sepi_DM21B07_00515",8549,7853,6802,10482,10342,9817,8509,9219,7740
"Sepi_DM21B07_00516",10678,4692,6867,21180,20497,20621,17592,15921,12901
"Sepi_DM21B07_00517",54283,46179,45674,73308,103394,99389,96035,110588,93958
"Sepi_DM21B07_00518",12568,11175,10904,1168,1623,1577,2324,2808,2341
"Sepi_DM21B07_00519",22121,18422,17329,10046,12376,10976,12038,14066,11888
"Sepi_DM21B07_00520",105840,85307,87921,44076,57969,54499,60780,70213,58729
"Sepi_DM21B07_00521",31248,25490,23805,6313,8448,8478,6882,7683,6391
"Sepi_DM21B07_00522",20856,17475,18333,29251,31008,26832,27000,27050,22776
"Sepi_DM21B07_00523",24490,25836,26230,1787,2197,2069,3671,4078,3397
"Sepi_DM21B07_00524",754,707,718,1270,1732,1564,1501,1565,1284
"Sepi_DM21B07_00525",6036,10089,11106,2566,2617,2817,2497,2466,2034
"Sepi_DM21B07_00526",5366,4918,5019,3344,4427,4160,4795,4758,4012
"Sepi_DM21B07_00527",8043,6859,9032,2746,3456,3286,5273,6450,5216
"Sepi_DM21B07_00528",8482,7159,9011,3037,3506,3640,5655,6290,5400
"Sepi_DM21B07_00529",2226,1945,2513,839,992,1079,1545,1623,1433
"Sepi_DM21B07_00530",50764,35139,43758,15678,19677,19259,19261,21466,17923
"Sepi_DM21B07_00531",8072,5646,7221,3193,4796,5251,2814,2874,2192
"Sepi_DM21B07_00532",37340,24994,35467,38464,46888,44281,42193,42314,34959
"Sepi_DM21B07_00533",1963,1665,1827,1958,2723,2619,2422,2212,1777
"Sepi_DM21B07_00534",129637,95297,117733,47861,59658,57318,69797,75291,63832
"Sepi_DM21B07_00535",70345,47429,58482,82388,85656,75500,89452,90350,76298
"Sepi_DM21B07_00536",55487,44772,52238,33454,38350,36642,41654,43909,37237
"Sepi_DM21B07_00537",270368,183544,207029,82399,102069,97657,108712,123195,102721
"Sepi_DM21B07_00538",14392,13620,13931,15886,18549,17888,16696,18014,15303
"Sepi_DM21B07_00539",18749,15678,19552,50906,58510,63566,71036,76748,63950
"Sepi_DM21B07_00540",10268,8237,9854,8176,9236,8628,11269,11589,9822
"Sepi_DM21B07_00541",1694,1323,1681,1725,2189,2285,2114,2156,1758
"Sepi_DM21B07_00542",1553,994,1076,1976,2234,1791,1553,1499,1327
"Sepi_DM21B07_00543",1485,1041,1231,1816,2026,1581,1384,1399,1181
"Sepi_DM21B07_00544",5968,5110,5276,3917,4442,3983,5295,5540,4772
"Sepi_DM21B07_00545",6863,5903,5751,2538,3567,3378,3853,4343,3589
"Sepi_DM21B07_00546",41329,34308,36254,16299,20771,20812,20492,21922,18674
"Sepi_DM21B07_00547",18747,14566,16724,6517,7640,7758,9490,10558,8946
"Sepi_DM21B07_00548",6915,5823,5630,5060,5920,5694,7397,7395,6387
"Sepi_DM21B07_00549",16016,12243,13666,2230,3454,3432,3514,4593,3818
"Sepi_DM21B07_00550",58459,43066,49692,8283,11480,10735,13706,18238,15308
"Sepi_DM21B07_00551",9641,8802,8763,3175,3968,3900,5543,6203,5143
"Sepi_DM21B07_00552",17101,11936,15881,13206,16001,15101,17419,18427,15215
"Sepi_DM21B07_00553",5053,3691,4534,4550,5149,4704,6569,7266,6341
"Sepi_DM21B07_00554",8143,5905,7132,7062,8177,7414,10555,10910,9495
"Sepi_DM21B07_00555",11768,10547,11570,10743,12222,12359,13458,13856,11676
"Sepi_DM21B07_00556",8344,7331,9048,6785,8385,8754,9229,9570,7938
"Sepi_DM21B07_00557",25576,23369,28557,28537,29967,29868,35512,34655,28933
"Sepi_DM21B07_00558",748,515,691,619,734,731,706,787,620
"Sepi_DM21B07_00559",1162,815,1039,916,1119,1139,1127,1175,957
"Sepi_DM21B07_00560",2494,1594,2200,1729,2086,1946,2131,2343,1985
"Sepi_DM21B07_00561",6274,5374,6233,3624,4400,4116,4797,5192,4170
"Sepi_DM21B07_00562",683,543,538,375,514,523,557,569,496
"Sepi_DM21B07_00563",4267,3532,3288,2010,2645,2567,3365,3603,3025
"Sepi_DM21B07_00564",5105,3700,4843,8641,9658,9855,9558,9451,7733
"Sepi_DM21B07_00565",22759,18631,19027,4692,6339,6244,8775,9570,8147
"Sepi_DM21B07_00566",5421,4546,4323,5219,6408,5944,6849,7150,6214
"Sepi_DM21B07_00567",13579,11835,11171,9342,11897,11215,13002,14751,12190
"Sepi_DM21B07_00568",219,215,219,119,104,101,104,159,158
"Sepi_DM21B07_00569",93471,85730,82626,35770,44996,44315,42747,47074,38756
"Sepi_DM21B07_00570",5447,5066,6145,14919,13572,15026,13347,13004,10497
"Sepi_DM21B07_00571",990,1003,814,2143,2397,2281,2680,2479,1967
"Sepi_DM21B07_00572",4618,4365,3679,14790,14663,14582,12260,9890,8173
"Sepi_DM21B07_00573",1089,1008,829,2877,3333,2906,2756,2476,2122
"Sepi_DM21B07_00574",1360,1203,1123,2801,3187,2920,2590,2507,2083
"Sepi_DM21B07_00575",9179,9017,10160,6662,6859,8205,8269,8091,6571
"Sepi_DM21B07_00576",6943,7320,7449,6523,7284,8674,5840,5902,4813
"Sepi_DM21B07_00577",12582,10035,11126,11100,13330,11732,18171,19014,16222
"Sepi_DM21B07_00578",85,103,119,106,149,135,143,144,117
"Sepi_DM21B07_00579",18438,16063,16242,10696,13086,12065,17275,18591,15827
"Sepi_DM21B07_00580",3819,3025,2931,13663,15981,14904,12738,13970,11773
"Sepi_DM21B07_00581",23309,15274,19765,18037,19824,18484,20276,20979,17537
"Sepi_DM21B07_00582",2507,2230,2499,1994,2580,2449,3331,3713,3223
"Sepi_DM21B07_00583",667,579,587,448,611,605,785,860,712
"Sepi_DM21B07_00584",28566,22500,25282,29019,33222,29970,42358,44686,37804
"Sepi_DM21B07_00585",4793,3811,3959,3134,4212,3939,3744,3896,3164
"Sepi_DM21B07_00586",14098,10968,11752,9939,11598,10741,10214,10841,9337
"Sepi_DM21B07_00587",6603,5914,7338,21555,25922,28107,24813,26221,21429
"Sepi_DM21B07_00588",31315,25331,22736,42816,33062,32619,43300,36594,30804
"Sepi_DM21B07_00589",39262,31940,28791,60673,50069,50868,55675,46039,37865
"Sepi_DM21B07_00590",29506,22284,22162,41855,36500,37048,42389,36932,30022
"Sepi_DM21B07_00591",77702,55738,57855,101075,83179,80452,122472,110896,93156
"Sepi_DM21B07_00592",46,47,79,44,50,53,106,100,77
"Sepi_DM21B07_00593",4263,3690,3528,1961,2595,2579,2382,2789,2369
"Sepi_DM21B07_00594",10871,8601,8780,13775,16113,14638,15792,16724,14094
"Sepi_DM21B07_00595",1865,1506,1834,3096,3955,3938,4102,4268,3537
"Sepi_DM21B07_00596",33809,24163,30866,19441,26123,26137,19640,20680,16852
"Sepi_DM21B07_00597",33631,26756,29896,34554,39445,35835,50007,52777,44564
"Sepi_DM21B07_00598",1423,1317,1494,447,591,632,612,640,548
"Sepi_DM21B07_00599",6507,6164,6629,2412,3141,3106,3124,3215,2863
"Sepi_DM21B07_00600",5947,5364,5792,10133,11866,10797,18768,15556,13379
"Sepi_DM21B07_00601",12424,9155,10264,5012,6043,5877,6560,7041,5816
"Sepi_DM21B07_00602",22436,16598,20010,9245,11228,11049,12064,11829,9981
"Sepi_DM21B07_00603",28474,18235,24711,11795,14499,13377,17261,19173,16020
"Sepi_DM21B07_00604",11277,11843,11920,52724,52218,56605,65268,60893,50994
"Sepi_DM21B07_00605",100,97,105,100,106,115,83,80,73
"Sepi_DM21B07_00606",516,589,508,595,536,649,703,581,509
"Sepi_DM21B07_00607",13096,10911,13261,19271,22401,22341,13905,14805,12446
"Sepi_DM21B07_00608",39173,23797,30144,20544,26111,24486,27344,32622,26860
"Sepi_DM21B07_00609",29677,20911,30080,22996,24286,23166,28112,27436,23003
"Sepi_DM21B07_00610",40607,29645,41100,29543,31104,29328,37612,37480,31346
"Sepi_DM21B07_00611",57569,81915,71633,30494,28324,30838,34562,33312,27504
"Sepi_DM21B07_00612",4856,3971,4504,3171,3715,3390,6215,6768,5836
"Sepi_DM21B07_00613",1721,1355,1613,960,1131,1150,1958,2222,1846
"Sepi_DM21B07_00614",3358,2720,2570,4290,4699,4753,5132,5139,4291
"Sepi_DM21B07_00615",11324,9074,8761,3917,4309,4204,4357,4760,4203
"Sepi_DM21B07_00616",42140,32289,29687,18433,29310,27405,20050,21228,17760
"Sepi_DM21B07_00617",6695,5080,4739,3111,5449,5359,3202,3391,2710
"Sepi_DM21B07_00618",20556,16958,13077,9658,15597,15000,9326,9462,7868
"Sepi_DM21B07_00619",22802,19421,13807,10502,16950,15527,10107,10840,8936
"Sepi_DM21B07_00620",36224,31132,21251,16640,28669,26325,15022,15538,13127
"Sepi_DM21B07_00621",7136,5885,4025,3417,6061,5828,3145,3220,2680
"Sepi_DM21B07_00622",4250,3631,2597,1942,3731,3630,1755,1880,1536
"Sepi_DM21B07_00623",4205,2902,3152,1455,2330,2076,2308,2554,2062
"Sepi_DM21B07_00624",7292,5068,6640,8843,14966,14424,12742,15033,12627
"Sepi_DM21B07_00625",8843,6190,8921,7047,8820,8715,8005,7905,6549
"Sepi_DM21B07_00626",9084,6380,8189,4214,5297,5335,8124,9553,7975
"Sepi_DM21B07_00627",9408,7035,8245,4266,5478,5364,8265,9086,7665
"Sepi_DM21B07_00628",375,290,281,238,265,277,375,327,265
"Sepi_DM21B07_00629",29699,19804,25476,23432,27558,25859,21175,22503,19003
"Sepi_DM21B07_00630",9408,7043,8833,6409,7617,7271,5550,5802,4964
"Sepi_DM21B07_00631",7801,5975,7557,3890,4990,4977,4252,4266,3571
"Sepi_DM21B07_00632",20463,16341,19167,9330,11016,11121,10534,10796,9031
"Sepi_DM21B07_00633",6704,5244,5784,2943,3404,3622,3290,3432,2746
"Sepi_DM21B07_00634",6558,6282,6289,8270,9342,8920,9171,9241,7929
"Sepi_DM21B07_00635",9768,9665,9226,4801,4620,5561,4775,4673,3776
"Sepi_DM21B07_00636",3709,3791,3559,2491,2553,2856,2279,2102,1801
"Sepi_DM21B07_00637",5123,4286,4944,3689,4203,4466,3842,3914,3176
"Sepi_DM21B07_00638",6940,5590,6765,4208,4733,4514,5176,5493,4556
"Sepi_DM21B07_00639",8251,6269,7797,4217,4939,5137,5261,6126,4966
"Sepi_DM21B07_00640",11999,9347,11340,5645,6905,7075,7105,7652,6158
"Sepi_DM21B07_00641",43196,36255,36464,14459,16403,15375,17880,19271,16257
"Sepi_DM21B07_00642",3705,2984,4031,2740,2698,2711,4409,4788,4085
"Sepi_DM21B07_00643",712,580,779,348,470,408,669,683,529
"Sepi_DM21B07_00644",3788,3252,4114,5012,5741,5409,6509,6340,5351
"Sepi_DM21B07_00645",40625,27480,38307,26709,33360,33388,30134,31940,25968
"Sepi_DM21B07_00646",33039,33097,32793,41277,42968,41834,45121,48321,40089
"Sepi_DM21B07_00647",971,793,740,406,536,528,513,614,515
"Sepi_DM21B07_00648",2981,2735,2614,1356,1933,1789,2235,2263,1921
"Sepi_DM21B07_00649",7925,5842,6346,4491,5891,5607,5722,5985,4748
"Sepi_DM21B07_00650",28502,19392,26127,12270,15193,14326,16391,18625,15389
"Sepi_DM21B07_00651",26738,17067,25086,8338,12304,11712,13974,16762,13734
"Sepi_DM21B07_00652",19176,17581,18379,20632,20284,22760,20318,20302,17212
"Sepi_DM21B07_00653",30728,25154,31269,30207,41848,44573,41892,51574,41896
"Sepi_DM21B07_00654",35683,26715,27827,23733,27703,25898,30704,31376,26271
"Sepi_DM21B07_00655",207895,211465,159317,49543,67017,58733,78569,93938,77909
"Sepi_DM21B07_00656",133991,142349,102901,39657,57030,54870,48181,55236,45268
"Sepi_DM21B07_00657",175540,197204,127814,50481,65091,57500,64798,74342,61738
"Sepi_DM21B07_00658",77743,84635,52089,19284,25337,21170,27719,33539,28274
"Sepi_DM21B07_00659",260727,284623,180554,73230,98770,80330,95325,114454,93907
"Sepi_DM21B07_00660",64664,71916,39952,16393,24512,17679,20064,24586,20688
"Sepi_DM21B07_00661",187459,204971,112277,43435,60217,41007,56171,72321,61410
"Sepi_DM21B07_00662",194281,213762,117177,50505,74415,55440,59813,77258,64784
"Sepi_DM21B07_00663",99357,112603,60091,26379,39629,30653,30122,36971,30497
"Sepi_DM21B07_00664",24903,27491,14884,6863,11329,8562,7072,8894,7700
"Sepi_DM21B07_00665",83879,93765,51426,23786,35149,26546,24455,31327,25484
"Sepi_DM21B07_00666",81751,89567,47123,19808,31703,22128,24642,31494,25543
"Sepi_DM21B07_00667",81930,90683,47476,20400,32915,22260,24625,30514,25009
"Sepi_DM21B07_00668",81766,88189,48703,21703,35821,26580,24610,30611,24476
"Sepi_DM21B07_00669",36631,38812,22521,8856,14787,11292,11203,13662,11154
"Sepi_DM21B07_00670",51028,53865,30114,14298,22463,17909,14729,18203,14742
"Sepi_DM21B07_00671",51794,54971,31082,14713,23506,18949,15869,19378,15871
"Sepi_DM21B07_00672",96376,103343,58542,25911,37705,29838,30399,38231,32040
"Sepi_DM21B07_00673",126889,136343,80533,34238,50262,39011,44452,51033,41050
"Sepi_DM21B07_00674",31433,33147,19839,9200,13539,11525,10648,12731,10211
"Sepi_DM21B07_00675",57409,60838,39810,21434,30283,27242,23884,25950,21482
"Sepi_DM21B07_00676",248261,246168,176945,107154,128472,124195,123771,135749,113175
"Sepi_DM21B07_00677",150647,150952,107419,63027,73837,74331,72986,79680,65612
"Sepi_DM21B07_00678",60346,61615,46196,25289,27325,28403,31594,33615,28361
"Sepi_DM21B07_00679",45336,46193,36440,19661,22479,23627,22458,24392,19740
"Sepi_DM21B07_00680",69092,72862,58050,32411,36951,42432,35674,39081,32261
