"","Sepi_PJ_019","Sepi_PJ_020","Sepi_PJ_021","Sepi_PJ_022","Sepi_PJ_023","Sepi_PJ_024","Sepi_PJ_025","Sepi_PJ_026","Sepi_PJ_027"
"Sepi_DM21B07_00083",16630,14000,15895,518087,413156,441601,427091,370596,308160
"Sepi_DM21B07_00084",15946,14032,14644,514786,422054,429762,430313,360776,292457
"Sepi_DM21B07_00085",4727,3916,3717,150391,116424,117959,120534,107971,92864
"Sepi_DM21B07_00086",9919,7756,6728,325210,282529,281372,284560,240614,197481
"Sepi_DM21B07_00087",26170,20044,17055,994088,845739,814248,1082404,968772,820134
"Sepi_DM21B07_00088",870,733,764,1280,1277,1408,1839,1890,1673
"Sepi_DM21B07_00089",6611,4273,4523,10217,12261,11009,10945,11881,9982
"Sepi_DM21B07_00090",2891,2365,2666,2110,2626,2294,2620,2899,2486
"Sepi_DM21B07_00091",10245,8280,8428,7162,9001,8105,11228,11694,10191
"Sepi_DM21B07_00092",2178,1688,1759,2100,2757,2799,2649,2780,2415
"Sepi_DM21B07_00093",130,113,141,208,233,190,197,205,182
"Sepi_DM21B07_00094",40,33,45,52,54,46,58,67,61
"Sepi_DM21B07_00095",1223,994,907,1718,2053,2010,1875,1877,1606
"Sepi_DM21B07_00096",2285,2101,1793,2392,2747,2714,2865,3033,2750
"Sepi_DM21B07_00097",711,627,570,622,693,741,751,821,715
"Sepi_DM21B07_00098",2540,2003,1827,1611,2098,2144,2147,2412,1957
"Sepi_DM21B07_00099",7110,5859,5672,4072,4951,4701,5378,5905,5034
"Sepi_DM21B07_00100",42064,29857,27421,49627,62694,59305,60583,67256,56845
"Sepi_DM21B07_00101",1394,1181,1204,1882,2453,2215,2815,2939,2360
"Sepi_DM21B07_00102",6270,4388,6947,134237,145539,158511,33238,35947,29610
"Sepi_DM21B07_00103",7747,6065,7792,98471,108538,119330,24167,25915,22196
"Sepi_DM21B07_00104",1726,1401,1445,8044,11059,12829,2329,2405,1975
"Sepi_DM21B07_00105",2939,3282,3410,2240,2081,2306,3527,3405,2941
"Sepi_DM21B07_00106",673,774,745,551,629,677,877,859,651
"Sepi_DM21B07_00107",436,412,434,259,352,363,347,360,284
"Sepi_DM21B07_00108",1034,930,933,513,714,719,705,771,669
"Sepi_DM21B07_00109",3193,2303,2874,1507,1872,1878,2022,2214,1792
"Sepi_DM21B07_00110",7131,4844,6571,3898,4537,4490,5430,5990,4810
"Sepi_DM21B07_00111",1760,1288,1580,1182,1349,1337,1847,1900,1544
"Sepi_DM21B07_00112",4524,3278,4426,4001,4663,4309,5700,5802,4831
"Sepi_DM21B07_00113",674,462,620,603,708,655,807,898,722
"Sepi_DM21B07_00114",3703,3129,2879,2313,2559,2345,3377,3522,3023
"Sepi_DM21B07_00115",422,328,393,309,401,431,423,465,425
"Sepi_DM21B07_00116",1050,844,879,514,836,815,851,990,737
"Sepi_DM21B07_00117",2289,1907,1892,1145,1465,1388,1439,1532,1256
"Sepi_DM21B07_00118",177,156,145,96,143,135,100,100,76
"Sepi_DM21B07_00119",4720,4023,3943,1922,2479,2310,2687,2875,2533
"Sepi_DM21B07_00120",5641,4884,4499,3561,4801,4595,5093,5642,4725
"Sepi_DM21B07_00121",1900,1577,1700,2333,2621,2594,2714,2618,2168
"Sepi_DM21B07_00122",950,780,797,2464,3489,3212,3136,3376,2785
"Sepi_DM21B07_00123",3274,2644,2795,29026,31934,29832,33200,33636,28220
"Sepi_DM21B07_00124",1205,1104,1000,1035,1321,1239,1608,1775,1523
"Sepi_DM21B07_00125",7068,5950,5776,4889,4981,4369,6312,6545,5497
"Sepi_DM21B07_00126",3432,2717,2788,2842,3439,3110,3345,3672,3120
"Sepi_DM21B07_00128",55399,45648,59637,184173,186044,183039,155691,140578,114882
"Sepi_DM21B07_00129",25077,18716,19694,17559,22928,23064,22602,23922,19578
"Sepi_DM21B07_00127",8002,9027,9001,3253,4205,4468,4978,5408,4417
"Sepi_DM21B07_00130",3758,3692,3631,849,1051,1028,976,1101,939
"Sepi_DM21B07_00131",381,407,439,98,132,136,97,100,89
"Sepi_DM21B07_00132",7709,8715,8123,1138,1352,1219,479,484,476
"Sepi_DM21B07_00133",429,349,350,1097,1390,1648,1153,1237,969
"Sepi_DM21B07_00134",4840,4333,5149,3124,3531,3547,6430,6466,5551
"Sepi_DM21B07_00135",11182,8966,11472,7348,8770,8844,14260,15214,12555
"Sepi_DM21B07_00136",9028,7079,8370,5875,7384,6863,10130,10453,9025
"Sepi_DM21B07_00137",2676,2425,2192,1150,1701,1636,2673,3441,2941
"Sepi_DM21B07_00138",2875,2192,2254,3220,4335,3996,5961,6621,5513
"Sepi_DM21B07_00139",436,353,346,451,669,723,2169,1004,792
"Sepi_DM21B07_00140",47079,53791,38509,68219,89147,83009,90378,97007,79872
"Sepi_DM21B07_00141",47832,56186,31618,55775,79465,56390,96055,99609,84437
"Sepi_DM21B07_00142",202,163,147,171,220,225,254,226,196
"Sepi_DM21B07_00143",221,228,264,312,307,334,656,633,538
"Sepi_DM21B07_00144",404,359,426,503,594,624,984,861,757
"Sepi_DM21B07_00145",1464,1168,1373,1516,1578,1431,2670,2602,2211
"Sepi_DM21B07_00146",427,331,411,346,406,406,579,554,456
"Sepi_DM21B07_00147",6252,3523,4143,19473,14441,13689,15302,12157,10188
"Sepi_DM21B07_00148",25744,13384,17067,87232,62742,56004,70488,54750,46410
"Sepi_DM21B07_00149",2695,2292,2763,4317,4233,4213,8464,6485,5614
"Sepi_DM21B07_00150",391,336,357,355,384,385,513,449,369
"Sepi_DM21B07_00151",586,456,557,417,499,536,783,694,583
"Sepi_DM21B07_00152",632,510,617,405,456,487,739,802,612
"Sepi_DM21B07_00153",722,794,752,358,334,414,818,751,687
"Sepi_DM21B07_00154",447,532,466,175,174,166,275,289,258
"Sepi_DM21B07_00155",46769,37681,36594,3031,3720,3526,4190,4550,3764
"Sepi_DM21B07_00156",22277,14362,15084,33158,34588,33731,33200,32689,27322
"Sepi_DM21B07_00157",42546,26731,24572,111586,98090,110243,86483,76636,63480
"Sepi_DM21B07_00158",13548,8189,9319,34382,30253,33150,26782,22871,18590
"Sepi_DM21B07_00159",25811,15660,18887,40235,40940,40391,34226,30082,24396
"Sepi_DM21B07_00160",1253,990,1067,764,948,821,1271,1225,1089
"Sepi_DM21B07_00161",77,51,61,66,66,65,81,68,65
"Sepi_DM21B07_00162",867,786,655,446,343,366,561,484,444
"Sepi_DM21B07_00163",796,823,591,435,325,360,453,402,362
"Sepi_DM21B07_00164",1363,1407,1018,564,511,501,800,802,596
"Sepi_DM21B07_00165",1675,1547,1461,748,911,761,954,967,872
"Sepi_DM21B07_00166",942,922,733,449,397,380,557,542,439
"Sepi_DM21B07_00167",438,434,351,195,223,191,245,197,166
"Sepi_DM21B07_00168",1112,1130,739,388,430,391,511,554,401
"Sepi_DM21B07_00169",391,435,333,160,187,211,187,194,155
"Sepi_DM21B07_00170",1397,1113,1186,453,569,542,729,758,613
"Sepi_DM21B07_00171",883365,754340,497338,1360391,1231469,1341481,729313,746050,622807
"Sepi_DM21B07_00172",211379,174997,132583,283814,290828,313388,173477,168574,137987
"Sepi_DM21B07_00173",2532,1823,2255,3962,4058,4020,3026,1929,1602
"Sepi_DM21B07_00174",11665,12454,13285,8979,10568,10986,12861,13708,11326
"Sepi_DM21B07_00175",2615,2296,3014,2877,3281,3395,3587,3174,2755
"Sepi_DM21B07_00176",48,50,57,39,47,52,56,62,56
"Sepi_DM21B07_00177",226,185,241,142,203,205,250,264,237
"Sepi_DM21B07_00178",221,196,204,134,161,181,236,275,242
