ID,category,SCNIH004,SCNIH009,SCNIH016,NIHLM087,SENIH040,SENIH047,SHNIH025,SHNIH027,SHNIH030
S0196,genus_core,1,3,3,1,3,3,3,3,3
S0197,genus_core,1,3,3,3,3,3,3,3,3
S0198,genus_core,1,1,1,3,3,3,1,1,1
S0199,genus_core,2,1,1,2,2,1,1,1,2
S0207,genus_core,1,1,1,1,1,1,3,1,1
S0208,genus_core,1,1,1,2,1,1,1,1,1
S0209,genus_core,2,1,1,1,1,1,1,1,1
S0210,genus_core,2,2,2,2,2,2,1,1,2
S0211,genus_core,2,2,2,2,2,2,2,1,2
S0212,genus_core,2,2,2,2,2,2,2,1,2
S0213,genus_core,1,1,1,3,1,3,1,1,1
S0215,species_restricted_core,1,3,1,1,1,1,0,0,0
S0217,genus_core,1,1,1,3,1,3,1,1,1
S0224,genus_core,1,1,3,1,1,1,1,1,1
S0227,genus_core,1,1,1,1,1,1,1,1,3
S0228,genus_core,1,1,1,1,1,1,1,1,3
S0229,genus_core,1,1,1,1,1,1,1,1,3
S0230,genus_core,1,1,1,1,1,3,1,1,3
S0231,genus_core,1,2,2,2,1,2,1,1,2
S0233,genus_core,1,1,1,3,3,1,1,1,1
S0238,genus_core,1,1,1,1,1,1,1,1,2
S0239,genus_core,1,1,1,1,1,1,1,1,2
S0244,genus_core,1,1,1,2,1,2,1,1,3
S0245,genus_core,1,1,1,2,1,1,1,1,1
S0246,genus_core,1,1,1,2,1,1,1,1,1
S0247,genus_core,1,1,3,3,3,1,1,1,1
S0254,genus_core,2,2,2,1,1,2,2,1,1
S0255,genus_core,2,2,2,1,1,1,2,1,1
S0256,genus_core,2,1,1,1,1,1,2,1,1
S0257,genus_core,2,1,1,1,1,1,1,1,1
S0259,genus_core,1,3,1,1,1,1,1,1,1
S0264,genus_core,1,1,1,1,1,1,3,1,3
S0265,genus_core,1,1,1,1,1,1,1,1,3
S0266,genus_core,1,1,1,1,1,1,1,1,3
S0269,genus_core,1,1,1,2,1,1,1,1,1
S0271,genus_core,1,1,1,3,1,1,1,1,1
S0272,genus_core,3,1,1,1,1,3,1,1,1
S0274,genus_core,1,1,3,3,3,3,3,3,3
S0277,genus_core,1,1,1,1,2,1,1,1,1
S0281,genus_core,1,1,1,1,1,3,1,1,1
S0282,genus_core,1,1,1,1,1,3,1,1,1
S0283,genus_core,1,1,1,1,1,3,1,1,1
S0293,genus_core,2,1,2,2,2,2,2,2,2
S0294,genus_core,2,1,2,2,2,2,2,2,2
S0298,genus_core,3,1,1,1,1,1,1,1,1
