"","Scap_PJ_010","Scap_PJ_011","Scap_PJ_012","Scap_PJ_013","Scap_PJ_014","Scap_PJ_015","Scap_PJ_016","Scap_PJ_017","Scap_PJ_018"
"Scap_LM7D7_a_00077",2665,3139,2642,2426,2766,2453,2279,3619,2876
"Scap_LM7D7_a_00080",3053,6272,5721,8182,7513,7967,13529,12394,15294
"Scap_LM7D7_a_00081",707,1234,846,804,773,853,2152,2610,2258
"Scap_LM7D7_a_00082",604,1144,768,383,505,427,1739,2129,1879
"Scap_LM7D7_a_00083",1880,3145,2265,1396,1938,1597,4954,5222,4890
"Scap_LM7D7_a_00084",3803,5834,3824,2201,3427,2714,5594,6067,5514
"Scap_LM7D7_a_00085",1665,2431,2395,3424,3699,4071,5187,3751,4521
"Scap_LM7D7_a_00086",238,153,96,8847,7143,8038,3992,2924,3214
"Scap_LM7D7_a_00087",157,169,143,1392,1417,1513,611,582,603
"Scap_LM7D7_a_00088",395,437,351,3018,3132,3305,1132,1152,1146
"Scap_LM7D7_a_00089",559,638,622,2805,2694,2864,1032,1137,1172
"Scap_LM7D7_a_00090",2643,3303,3006,1913,2167,2277,1384,2158,2039
"Scap_LM7D7_a_00091",1979,2649,3013,1865,3028,2439,1280,1450,1514
"Scap_LM7D7_a_00092",6805,8531,8085,7754,13138,9683,4273,4938,5422
"Scap_LM7D7_a_00093",162,230,239,858,1301,982,308,449,461
"Scap_LM7D7_a_00094",165,251,216,756,852,694,252,421,395
"Scap_LM7D7_a_00095",101,139,110,259,328,283,96,211,150
"Scap_LM7D7_a_00096",378,548,404,45,80,63,52,113,70
"Scap_LM7D7_a_00097",348,528,451,94,114,91,67,116,77
"Scap_LM7D7_a_00098",295,457,396,105,87,83,78,140,86
"Scap_LM7D7_a_00099",372,567,521,181,234,180,158,249,225
"Scap_LM7D7_a_00100",226,301,282,178,205,137,138,235,184
"Scap_LM7D7_a_00101",145,202,189,121,144,126,109,173,140
"Scap_LM7D7_a_00102",202,263,290,149,192,167,152,200,217
