"","Scap_PJ_019","Scap_PJ_020","Scap_PJ_021","Scap_PJ_022","Scap_PJ_023","Scap_PJ_024","Scap_PJ_025","Scap_PJ_026","Scap_PJ_027"
"Scap_2C01_ad_00082",10307,10585,8631,7328,7061,7714,5560,5781,6261
"Scap_2C01_ad_00083",3801,3730,3148,2378,2145,2460,2322,2455,2452
"Scap_2C01_ad_00084",4854,4139,3482,1258,1091,1179,1012,1173,1243
"Scap_2C01_ad_00085",248,305,289,176,130,161,156,177,212
"Scap_2C01_ad_00086",3728,3643,3195,1780,1567,1672,1840,1970,1870
"Scap_2C01_ad_00087",5437,5521,5302,1973,1716,2230,1820,1976,1952
"Scap_2C01_ad_00088",134726,139846,132661,11864,11521,13321,14481,15692,15190
"Scap_2C01_ad_00089",14193,13592,13049,1459,1336,1642,1909,2082,1986
"Scap_2C01_ad_00090",1848,1770,1410,3095,2932,3435,2644,3096,2673
"Scap_2C01_ad_00091",10878,12051,11345,23621,20097,23555,24158,25343,24108
"Scap_2C01_ad_00092",9558,10855,10082,19856,18968,22547,23916,24720,24074
"Scap_2C01_ad_00093",7523,8992,9657,4781,5148,5942,5671,5253,5046
"Scap_2C01_ad_00094",786,1024,1147,634,650,833,816,775,675
"Scap_2C01_ad_00095",2536,2731,2232,3279,2910,3448,2927,3281,2979
"Scap_2C01_ad_00096",2790,3098,2513,3590,3211,3709,3259,3702,3433
"Scap_2C01_ad_00097",278,348,277,302,279,284,273,303,335
"Scap_2C01_ad_00098",3359,3391,3150,3875,3525,4555,4884,5151,4686
"Scap_2C01_ad_00099",2907,3243,2863,5805,5171,5730,6240,6711,6601
"Scap_2C01_ad_00100",1695,1698,1367,2361,2042,2246,2376,2757,2784
"Scap_2C01_ad_00101",54,60,49,105,85,111,155,134,170
"Scap_2C01_ad_00102",2610,2644,2470,3087,2651,3159,3104,3417,3395
"Scap_2C01_ad_00103",18316,20247,18464,15035,14440,15864,13955,16120,16134
"Scap_2C01_ad_00104",840,1022,895,994,986,1145,860,1087,1019
"Scap_2C01_ad_00105",173,185,188,183,220,277,194,221,223
"Scap_2C01_ad_00106",281,330,306,334,332,372,367,427,395
"Scap_2C01_ad_00107",553,528,429,1191,1218,1672,2450,2278,1990
"Scap_2C01_ad_00108",2726,2945,2551,1962,1709,2146,1958,2098,2083
"Scap_2C01_ad_00109",6242,6752,5599,4321,3867,4622,4425,4842,4914
"Scap_2C01_ad_00110",1187,1338,1198,1369,1203,1385,1174,1178,1092
"Scap_2C01_ad_00111",8950,8412,7678,6629,5602,7212,10647,11330,10527
"Scap_2C01_ad_00112",6423,7097,6677,7346,6515,7534,8428,9475,8813
"Scap_2C01_ad_00113",747,771,625,1231,1122,1250,1629,1692,1673
"Scap_2C01_ad_00114",1312,1453,1343,4322,4848,6775,7473,7342,6561
"Scap_2C01_ad_00115",141935,162107,129568,378427,331463,337472,293108,321866,318881
"Scap_2C01_ad_00116",1495,1538,1400,3481,4015,5840,6701,5775,5119
"Scap_2C01_ad_00117",315,373,316,2423,2543,3775,4107,3474,3065
"Scap_2C01_ad_00118",187,206,176,366,299,350,377,432,401
"Scap_2C01_ad_00119",4842,4540,4235,6765,5715,6836,11526,12180,11705
"Scap_2C01_ad_00120",5797,5351,5021,8261,7663,10502,18953,20688,18171
"Scap_2C01_ad_00121",14920,17524,15395,13477,12883,14641,13571,15228,14006
"Scap_2C01_ad_00122",4448,4461,3964,3048,2952,3557,2921,3168,3044
"Scap_2C01_ad_00123",4026,3934,3661,2525,2414,2925,2403,2558,2260
"Scap_2C01_ad_00124",2053,2361,2514,5607,6656,7846,14744,12218,10861
"Scap_2C01_ad_00125",221,302,300,417,379,405,1645,1690,1736
"Scap_2C01_ad_00126",47641,52106,44751,30770,26761,32129,197306,199032,176848
"Scap_2C01_ad_00127",2095,2001,1867,1574,1378,1634,1362,1483,1330
"Scap_2C01_ad_00128",473,413,387,343,306,352,303,357,321
"Scap_2C01_ad_00129",76,59,54,49,46,75,48,53,47
"Scap_2C01_ad_00130",245,277,225,185,211,244,202,195,222
"Scap_2C01_ad_00131",6294,7201,6148,7307,7274,8659,6785,7625,7447
"Scap_2C01_ad_00132",12986,16885,14049,11108,11125,12048,8853,10035,10642
"Scap_2C01_ad_00133",229,217,174,287,217,336,260,265,233
"Scap_2C01_ad_00134",1507,1521,1304,1187,1280,1608,1622,1570,1468
"Scap_2C01_ad_00135",396,398,330,368,321,375,374,385,390
"Scap_2C01_ad_00136",3969,4027,3462,3345,2660,3032,2883,2992,3005
